ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
83	0,1	2,0	0,0	1,1	97	98
255	0,0	0,1	0,1	0,1	98	93
436	1,1	0,1	0,0	0,1	98	98
465	1,0	0,0	0,0	0,1	98	98
632	0,1	1,0	0,2	1,0	98	98
810	0,1	7,2	0,0	1,2	98	98
1268	0,1	0,0	0,0	1,0	98	98
1344	0,0	1,0	0,1	0,0	98	98
1695	1,0	0,0	0,1	2,0	98	98
1794	0,2	0,2	0,2	0,2	98	98
1795	0,0	0,1	1,0	0,0	98	98
1931	3,4	1,0	0,1	1,1	77	98
1932	3,4	1,0	0,1	1,1	98	98
2201	1,1	1,1	1,0	2,0	85	98
2236	0,3	3,3	2,3	3,0	98	98
2277	0,1	0,0	0,0	1,1	98	98
2372	2,3	3,4	1,6	3,3	98	98
