ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
13	1,0	1,0	1,0	0,0	98	49
14	2,1	1,2	0,1	1,1	98	49
87	0,1	1,1	0,0	0,1	98	49
230	1,0	4,4	1,1	4,1	98	49
255	0,0	1,1	0,2	0,3	98	49
257	0,0	0,1	1,0	1,0	98	49
272	2,0	0,0	0,0	0,1	98	49
324	1,0	2,3	1,0	0,0	98	49
334	2,0	2,0	1,0	0,0	98	49
370	1,1	1,1	0,1	0,0	98	49
371	1,0	3,1	0,1	0,1	98	49
373	0,1	7,3	0,0	1,2	98	49
374	1,0	2,4	0,0	1,1	98	49
376	0,1	4,2	0,0	4,1	98	49
526	0,0	0,1	0,1	0,0	98	49
574	0,0	1,0	1,0	1,0	98	49
619	0,0	3,0	1,0	1,0	98	49
663	0,1	0,0	0,0	0,1	98	49
727	1,0	5,4	0,1	2,1	98	49
729	1,0	0,2	0,3	1,1	98	49
791	0,1	1,0	0,1	1,0	98	49
894	0,1	3,3	0,0	3,1	98	49
907	1,1	0,0	0,0	1,1	98	49
962	0,1	0,0	0,0	0,1	98	49
969	0,1	0,1	1,0	0,1	98	49
1004	1,0	3,0	1,0	3,0	98	49
1005	0,3	0,0	0,0	1,1	98	49
1014	0,1	2,3	0,1	1,2	98	49
1064	1,1	3,0	0,1	0,1	98	49
1086	1,0	0,0	0,0	0,1	98	49
1287	0,0	6,5	0,1	2,5	98	49
1291	2,0	2,6	0,1	1,1	98	49
1434	0,2	14,15	1,2	14,11	98	49
1460	1,0	1,0	0,0	0,1	98	49
1493	0,1	0,1	1,0	0,0	98	49
1494	0,0	1,0	1,0	1,0	98	49
1499	0,2	0,1	1,0	0,0	98	49
1602	0,0	1,0	1,0	1,0	98	49
1642	0,1	0,3	0,0	1,2	98	49
1767	2,0	3,2	1,2	1,0	98	49
1793	1,1	4,1	0,0	1,0	98	49
1794	1,0	4,2	0,1	1,3	98	49
1912	0,1	0,1	0,0	4,1	98	49
1930	1,0	1,0	1,1	0,0	98	49
1931	0,1	0,0	1,1	0,1	98	49
2022	0,0	3,0	2,0	0,2	98	49
2044	0,1	0,0	0,0	1,0	98	49
2074	0,0	1,1	0,1	2,0	98	49
2097	2,2	7,6	3,3	4,4	98	49
2098	1,0	4,3	0,0	5,6	98	49
2110	0,1	1,0	0,1	1,0	98	49
2112	0,1	0,1	0,0	1,0	98	49
2262	1,0	1,4	0,0	5,4	98	49
2264	0,1	3,3	0,1	3,0	98	49
2366	0,1	1,1	1,0	0,0	98	49
2369	1,0	0,1	0,0	1,0	98	49
2372	1,0	1,0	1,0	0,0	98	49
2373	0,0	1,0	0,1	1,0	98	49
2497	1,0	6,3	0,0	0,2	98	49
2803	0,0	1,1	1,0	1,0	98	49
2804	0,0	1,0	1,0	1,0	98	49
2815	0,0	0,1	0,1	0,0	98	49
3038	0,0	5,2	1,0	1,2	98	49
3237	1,0	0,0	0,1	0,1	98	49
3364	0,1	0,2	0,3	2,1	98	49
3568	0,0	0,1	1,0	1,0	98	49
3779	0,1	0,2	1,0	2,2	98	49
3949	1,0	2,1	0,0	1,0	98	49
3967	1,0	0,1	0,2	3,1	98	49
4028	0,0	0,1	0,1	0,0	98	49
4031	0,0	0,2	0,1	0,0	98	49
4055	0,1	0,1	0,0	0,4	98	49
4120	1,0	0,0	0,1	1,0	98	49
4252	0,0	3,2	0,1	1,1	98	49
4324	0,1	0,1	0,1	0,0	98	49
4327	0,0	0,1	0,1	0,0	98	49
4368	2,3	2,6	1,0	5,3	98	49
4823	0,1	3,7	2,0	3,5	98	49
4825	0,1	3,4	0,1	0,1	98	49
4893	1,3	3,5	0,0	5,0	98	49
4894	4,3	2,3	0,0	2,2	98	49
4906	1,0	0,0	0,0	1,1	98	49
5006	0,0	1,0	1,2	0,1	98	49
5058	1,0	0,0	0,0	0,2	98	49
5064	0,0	0,1	0,1	0,0	98	49
5089	4,2	0,0	1,0	1,0	98	49
5090	3,2	5,1	1,0	4,4	98	49
5199	2,0	1,1	0,0	1,0	98	49
5257	0,0	0,1	1,0	0,0	98	49
5272	0,0	1,0	1,0	0,0	98	49
5288	0,2	4,4	2,1	5,2	98	49
5513	0,0	0,1	1,0	1,1	98	49
5525	0,0	1,1	1,0	0,0	98	49
5541	0,1	0,0	0,0	1,0	98	49
5577	0,0	1,1	0,1	2,0	98	49
5590	1,0	1,1	0,0	0,1	98	49
5623	0,0	3,4	0,1	1,0	98	49
5667	1,1	4,4	0,1	1,1	98	49
5912	1,0	3,2	0,0	0,1	98	49
5979	0,1	0,0	0,0	1,3	98	49
5991	0,1	0,2	0,0	4,1	98	49
6010	0,1	1,2	0,0	3,2	98	49
