ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1337	1,0	0,2	0,3	0,1	94	49
2076	0,1	0,0	0,0	1,0	52	49
3163	0,2	2,0	0,1	0,0	98	49
4937	1,1	1,0	0,1	0,0	98	49
7137	0,1	1,0	0,1	1,0	98	49
7324	1,0	0,0	0,1	1,0	98	49
7595	0,0	1,0	0,2	0,0	98	49
8081	0,2	0,0	0,0	1,0	98	49
8411	0,0	0,1	0,1	0,0	98	49
9430	0,0	0,1	1,0	0,0	96	49
9864	0,0	1,0	0,2	0,0	98	49
11349	15,13	0,0	0,0	0,13	85	49
12248	1,0	0,0	0,0	0,1	98	49
12333	1,0	0,0	0,0	1,0	98	49
12334	1,0	0,0	0,0	1,0	98	49
12593	0,1	0,0	1,1	1,0	98	49
13600	0,0	0,1	0,1	1,1	98	49
14879	0,0	0,1	0,1	0,0	98	49
16384	0,1	0,1	0,0	1,0	98	49
16641	2,0	0,0	1,0	1,0	98	49
17364	0,0	0,1	0,1	0,0	98	49
18471	6,4	0,0	2,3	0,1	98	49
20001	1,0	0,1	0,0	0,1	98	49
21128	0,0	0,1	1,0	0,0	98	49
21510	1,0	0,0	0,0	1,0	98	49
21511	1,0	0,0	0,0	1,0	97	49
21875	1,1	0,0	0,0	0,1	98	49
22431	0,1	0,1	1,2	0,0	98	49
23391	1,0	0,0	0,0	0,1	98	49
24073	0,1	0,1	0,0	1,0	98	49
25393	0,0	1,0	0,1	0,0	98	49
25467	0,1	0,0	0,1	0,1	98	49
26078	0,0	1,0	1,0	1,0	98	49
26079	4,2	0,1	4,1	0,0	98	49
26596	0,1	1,0	5,3	0,0	98	49
26597	0,0	0,1	1,0	2,1	98	49
26644	0,1	1,0	0,0	1,0	98	49
28583	1,0	0,0	0,1	1,0	98	49
28817	1,3	1,1	1,2	0,0	98	49
30248	3,1	0,0	1,0	0,1	98	49
31132	0,2	1,0	1,1	0,0	98	49
31133	0,6	1,0	3,3	0,0	98	49
31751	1,0	2,2	0,1	1,0	98	49
31999	0,0	0,1	1,0	0,1	98	49
32195	0,0	0,1	0,1	0,0	98	49
32196	0,0	0,1	0,1	0,0	98	49
32451	0,2	0,0	0,0	1,0	98	49
32953	1,0	0,0	0,0	1,0	64	49
33419	0,0	1,0	1,0	0,0	98	49
33948	0,1	4,0	0,0	1,1	98	49
33952	0,1	4,0	0,0	1,1	74	49
33953	0,1	4,0	0,0	1,1	71	49
34627	7,9	1,0	1,0	0,0	98	49
36125	0,1	2,0	0,0	0,2	98	49
36479	0,1	0,0	0,0	1,0	98	49
36480	0,1	0,0	0,0	1,0	98	49
37357	1,0	0,0	0,0	1,0	98	49
37730	1,0	1,1	0,0	0,1	94	49
38241	0,0	1,0	0,1	0,1	55	49
38413	3,3	0,2	3,0	0,0	98	49
38414	7,6	0,2	6,5	0,0	98	49
38415	3,3	0,2	3,0	0,0	98	49
40660	0,2	2,3	1,1	1,6	98	49
