ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
197	0,0	1,1	0,1	0,0	134	49
293	3,2	1,1	0,1	0,0	59	49
297	0,0	7,3	0,1	3,1	73	49
309	0,1	0,0	0,0	3,0	90	49
331	1,0	2,0	0,0	0,1	205	49
439	0,0	0,1	0,1	0,0	129	49
921	0,0	1,2	1,0	1,0	61	49
1013	1,0	0,1	0,0	1,0	672	49
1122	0,1	21,18	0,0	14,14	53	49
1186	2,0	0,0	1,2	1,0	100	49
1384	1,0	1,2	0,0	0,2	66	49
1485	2,0	4,2	2,0	1,3	307	49
1497	0,1	1,0	0,0	0,1	112	49
1501	0,1	0,0	2,1	1,0	394	49
1595	0,1	0,0	0,1	0,1	90	49
1671	0,0	3,0	2,0	0,2	53	49
1753	1,0	1,0	2,0	0,2	238	49
1768	0,1	1,0	0,1	1,0	568	49
1772	0,0	2,0	0,1	1,0	70	49
1807	0,2	1,0	0,0	1,0	250	49
2003	1,0	1,0	1,0	0,0	88	49
2062	1,0	0,2	0,0	1,0	265	49
2082	0,1	0,0	0,0	0,1	87	49
2278	3,0	0,0	0,0	1,0	440	49
2483	0,1	5,2	0,1	1,1	185	49
2531	0,0	2,2	3,0	5,2	66	49
3183	0,1	0,0	0,0	0,1	64	49
3184	0,0	1,0	0,1	0,0	107	49
4054	0,1	4,4	0,0	1,1	280	49
4206	1,0	2,1	1,0	1,0	115	49
4636	0,0	1,0	1,0	0,1	62	49
4657	0,2	4,4	2,1	5,2	76	49
4774	1,0	0,0	0,0	0,1	56	49
4821	0,1	0,2	1,0	1,0	88	49
4957	0,1	0,0	1,0	1,0	165	49
5292	0,1	5,3	0,0	3,0	59	49
