ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
64	0,0	0,1	1,0	1,0	159	147
83	0,1	2,1	0,0	1,1	97	162
126	1,0	0,0	1,0	0,2	172	226
194	1,1	0,2	1,0	2,2	215	146
201	0,0	2,7	1,0	8,0	136	254
224	0,1	0,0	0,1	1,1	162	118
255	0,0	0,1	0,1	0,1	137	93
436	1,1	0,2	0,0	1,1	126	151
448	0,0	1,0	2,0	1,0	212	127
465	1,0	0,0	0,0	0,2	149	140
511	2,0	0,0	0,0	0,2	177	200
632	2,1	1,0	2,3	1,1	205	193
698	0,1	0,0	1,1	3,2	145	225
810	0,2	15,2	1,2	4,4	216	216
953	0,0	2,0	2,0	0,0	273	733
1160	2,0	2,0	0,0	0,1	139	167
1181	0,1	2,1	0,0	1,0	172	215
1227	1,0	0,0	0,1	0,1	198	166
1228	1,0	0,0	0,1	0,1	198	312
1229	0,0	0,1	0,1	0,0	166	285
1268	0,1	0,0	0,0	1,0	126	126
1284	0,1	0,0	0,0	0,1	120	107
1344	1,0	1,0	0,1	0,0	126	128
1511	1,2	0,1	0,1	0,0	193	175
1642	0,1	0,0	0,0	1,0	110	145
1695	1,0	0,0	0,1	2,0	156	151
1794	0,2	0,2	0,3	0,2	148	139
1795	0,0	0,1	1,0	0,0	119	110
1800	0,1	1,1	0,1	0,0	155	191
1848	0,1	0,0	0,0	1,0	135	210
1874	0,0	1,0	1,2	0,0	164	129
1883	0,1	1,0	0,2	0,0	281	180
1931	3,4	8,4	0,1	6,7	77	237
1932	9,5	8,4	3,1	6,7	144	237
2048	3,5	3,6	0,5	3,9	167	223
2201	1,1	2,1	1,0	6,0	85	157
2236	6,12	9,15	7,9	13,18	196	235
2277	0,1	0,0	1,2	1,2	157	126
2305	0,1	0,0	0,0	0,1	135	138
2322	2,0	0,0	0,1	0,1	226	199
2372	2,5	10,7	1,6	10,9	108	144
