ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
13	1,0	1,0	1,0	0,0	139	49
14	2,1	1,2	2,1	1,1	571	49
87	0,2	1,1	0,0	0,1	3354	49
230	1,0	4,4	1,1	4,1	1129	49
255	0,0	1,1	0,2	0,3	141	49
257	0,0	0,1	2,0	1,0	515	49
272	2,0	0,0	0,0	0,1	2208	49
324	1,0	2,3	1,0	0,0	137	49
334	2,0	2,0	1,2	0,0	1285	49
370	1,1	1,1	0,1	0,0	368	49
371	1,0	3,1	0,1	0,1	358	49
373	0,1	7,3	0,0	1,2	226	49
374	1,0	2,4	0,0	1,1	224	49
376	0,1	4,2	0,0	4,1	374	49
489	1,2	0,1	0,2	0,0	2537	49
526	0,0	0,1	0,1	0,0	137	49
541	0,1	0,0	0,0	0,1	316	49
574	0,0	1,0	2,0	1,0	140	49
619	0,0	3,0	1,0	1,0	938	49
663	0,1	0,0	0,0	0,1	124	49
676	0,0	0,1	0,1	0,0	752	49
711	0,2	0,0	0,0	0,1	2884	49
727	1,0	5,4	0,2	2,1	128	49
729	1,0	0,2	0,3	1,1	422	49
791	0,1	1,0	2,3	1,0	1285	49
797	1,0	1,0	0,2	0,0	1333	49
894	0,1	3,3	0,0	3,1	598	49
907	1,1	0,0	0,0	1,1	195	49
962	0,1	0,0	0,0	0,1	315	49
969	0,1	0,1	1,0	0,1	530	49
1004	1,0	3,0	1,0	3,0	412	49
1005	0,3	0,0	1,0	1,1	169	49
1014	0,1	2,3	0,1	1,2	145	49
1064	1,1	3,0	0,1	0,1	212	49
1086	1,0	0,0	0,0	0,1	2827	49
1179	1,0	0,0	0,0	1,0	143	49
1287	0,0	6,5	0,1	2,5	275	49
1291	2,0	2,6	0,2	1,1	288	49
1434	1,2	14,15	1,2	14,11	157	49
1460	1,0	1,0	0,0	0,1	122	49
1493	0,1	0,1	1,0	0,0	145	49
1494	0,0	1,0	1,0	1,0	170	49
1497	8,6	0,0	9,10	1,0	2504	49
1499	1,2	0,1	1,0	0,0	222	49
1535	0,1	0,0	4,0	0,1	793	49
1586	0,0	1,0	4,0	0,0	1103	49
1602	0,0	1,0	1,0	1,0	226	49
1642	0,1	0,3	0,0	1,2	557	49
1765	0,2	5,2	0,0	1,0	441	49
1767	2,0	3,2	1,2	1,0	1358	49
1793	1,1	4,1	0,0	1,0	122	49
1794	2,0	4,2	3,2	1,3	402	49
1912	0,1	0,1	0,0	4,1	133	49
1930	3,0	1,0	1,1	0,0	255	49
1931	0,1	0,0	1,1	0,1	520	49
2022	0,0	3,0	2,0	0,2	583	49
2044	0,1	0,0	0,0	1,0	1050	49
2074	0,0	1,1	0,1	2,0	133	49
2097	2,2	7,6	3,4	4,4	490	49
2098	1,0	4,3	0,0	5,6	183	49
2110	0,1	1,0	0,1	1,0	647	49
2112	0,1	0,1	0,0	1,0	217	49
2224	3,0	0,0	0,2	1,0	579	49
