ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
336	0,0	0,2	1,0	0,1	52	49	1	1.0	NA,0.0	1.0,0.0	-0.5
457	2,2	2,0	0,0	1,1	894	49	0.409506962308	1.0	0.052,1.0	0.0,0.0	0.526
493	1,0	3,1	0,1	0,1	154	49	1	1.0	0.096,0.0	NA,0.241	-0.193
586	1,0	0,0	0,0	0,1	108	49	1	1.0	1.0,NA	NA,0.0	1.0
829	0,1	0,1	1,1	0,0	100	49	1	1.0	NA,0.329	1.0,1.0	-0.671
924	1,0	4,0	0,1	4,0	226	49	1	1.0	0.051,NA	0.0,1.0	-0.449
947	4,3	0,1	1,0	0,0	765	49	1	1.0	1.0,0.161	1.0,NA	-0.419
1007	0,1	0,1	0,0	1,0	77	49	1	1.0	NA,0.389	0.0,NA	0.389
1083	1,0	0,0	0,0	0,1	67	49	1	1.0	1.0,NA	NA,0.0	1.0
1246	0,1	0,1	1,0	0,1	123	49	1	1.0	NA,0.285	1.0,0.0	-0.215
1426	0,0	0,1	1,0	0,0	66	49	1	1.0	NA,0.0	1.0,NA	-1.0
2075	0,0	1,0	1,0	1,0	138	49	1	1.0	0.0,NA	0.262,NA	-0.262
2669	0,0	1,0	0,1	0,0	80	49	1	1.0	0.0,NA	NA,1.0	-1.0
2805	0,0	1,2	2,1	4,3	119	49	0.144059290763	1.0	0.0,0.0	0.171,0.121	-0.146
2828	0,1	0,1	0,0	1,0	52	49	1	1.0	NA,0.485	0.0,NA	0.485
2829	0,1	0,1	0,0	1,0	55	49	1	1.0	NA,0.471	0.0,NA	0.471
2894	3,2	0,0	2,1	1,0	742	49	1	1.0	1.0,1.0	0.117,1.0	0.442
3246	0,0	0,1	0,1	0,0	70	49	1	1.0	NA,0.0	NA,1.0	-1.0
3392	1,0	0,0	0,0	2,0	69	49	1	1.0	1.0,NA	0.0,NA	1.0
3395	0,0	3,6	1,0	1,0	65	49	1	1.0	0.0,0.0	0.43,NA	-0.43
3851	0,0	1,0	0,2	0,0	803	49	1	1.0	0.0,NA	NA,1.0	-1.0
4285	1,0	0,2	0,0	0,1	149	49	1	1.0	1.0,0.0	NA,0.0	0.5
4390	0,0	0,1	1,0	0,0	52	49	1	1.0	NA,0.0	1.0,NA	-1.0
4851	1,4	1,0	3,3	1,0	195	49	1	1.0	0.201,1.0	0.43,1.0	-0.114
5624	1,1	0,1	0,1	0,0	56	49	1	1.0	1.0,0.467	NA,1.0	-0.266
5625	0,0	0,1	0,1	0,0	80	49	1	1.0	NA,0.0	NA,1.0	-1.0
5660	1,1	0,1	0,0	0,4	52	49	1	1.0	1.0,0.485	NA,0.0	0.742
5884	1,0	0,0	0,0	0,1	67	49	1	1.0	1.0,NA	NA,0.0	1.0
5998	0,1	1,2	0,0	1,1	67	49	1	1.0	0.0,0.268	0.0,0.0	0.134
6676	0,0	0,1	0,1	0,0	701	49	1	1.0	NA,0.0	NA,1.0	-1.0
6804	0,1	3,4	0,1	0,1	97	49	1	1.0	0.0,0.112	NA,0.336	-0.28
6933	1,3	1,0	0,2	0,0	200	49	1	1.0	0.197,1.0	NA,1.0	-0.401
6959	1,0	0,0	0,0	0,1	58	49	1	1.0	1.0,NA	NA,0.0	1.0
7193	6,1	0,0	4,4	1,0	56	49	1	1.0	1.0,1.0	0.778,1.0	0.111
7981	0,1	4,3	1,0	3,5	80	49	1	1.0	0.0,0.17	0.17,0.0	0.0
7984	1,0	1,0	0,1	3,0	109	49	1	1.0	0.31,NA	0.0,1.0	-0.19
