ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
197	0,0	1,1	0,1	0,0	134	49	1	1.0
293	3,2	1,1	0,1	0,0	59	49	1	1.0
297	0,0	7,3	0,1	3,1	73	49	1	1.0
309	0,1	0,0	0,0	3,0	90	49	1	1.0
331	1,0	2,0	0,0	0,1	205	49	1	1.0
439	0,0	0,1	0,1	0,0	129	49	1	1.0
921	0,0	1,2	1,0	1,0	61	49	1	1.0
1013	1,0	0,1	0,0	1,0	672	49	1	1.0
1122	0,1	21,18	0,0	14,14	53	49	1	1.0
1186	2,0	0,0	1,2	1,0	100	49	1	1.0
1384	1,0	1,2	0,0	0,2	66	49	1	1.0
1485	2,0	4,2	2,0	1,3	307	49	0.346893453513	1.0
1497	0,1	1,0	0,0	0,1	112	49	1	1.0
1501	0,1	0,0	2,1	1,0	394	49	1	1.0
1595	0,1	0,0	0,1	0,1	90	49	1	1.0
1671	0,0	3,0	2,0	0,2	53	49	1	1.0
1753	1,0	1,0	2,0	0,2	238	49	1	1.0
1768	0,1	1,0	0,1	1,0	568	49	1	1.0
1772	0,0	2,0	0,1	1,0	70	49	1	1.0
1807	0,2	1,0	0,0	1,0	250	49	1	1.0
2003	1,0	1,0	1,0	0,0	88	49	1	1.0
2062	1,0	0,2	0,0	1,0	265	49	1	1.0
2082	0,1	0,0	0,0	0,1	87	49	1	1.0
2278	3,0	0,0	0,0	1,0	440	49	1	1.0
2483	0,1	5,2	0,1	1,1	185	49	1	1.0
2531	0,0	2,2	3,0	5,2	66	49	0.109375936822	1.0
3183	0,1	0,0	0,0	0,1	64	49	1	1.0
3184	0,0	1,0	0,1	0,0	107	49	1	1.0
4054	0,1	4,4	0,0	1,1	280	49	1	1.0
4206	1,0	2,1	1,0	1,0	115	49	1	1.0
4636	0,0	1,0	1,0	0,1	62	49	1	1.0
4657	0,2	4,4	2,1	5,2	76	49	0.266442531628	1.0
4774	1,0	0,0	0,0	0,1	56	49	1	1.0
4821	0,1	0,2	1,0	1,0	88	49	1	1.0
4957	0,1	0,0	1,0	1,0	165	49	1	1.0
5292	0,1	5,3	0,0	3,0	59	49	1	1.0
