IncLevel1	IncLevel2	IncLevelDifference
0.0,0.0	NA,1.0	-1.0
0.714,0.624	NA,1.0	-0.331
0.0,0.0	0.0,0.402	-0.201
NA,1.0	0.0,NA	1.0
0.107,NA	NA,0.0	0.107
NA,0.0	NA,1.0	-1.0
0.0,0.0	0.445,NA	-0.445
1.0,0.0	0.0,NA	0.5
0.0,0.049	0.0,0.0	0.025
1.0,NA	0.329,1.0	0.336
0.426,0.0	NA,0.0	0.213
0.074,0.0	0.242,0.0	-0.084
0.0,1.0	NA,0.0	0.5
NA,1.0	0.199,1.0	0.4
NA,1.0	NA,0.353	0.647
0.0,NA	1.0,0.0	-0.5
0.171,NA	1.0,0.0	-0.329
0.0,1.0	0.0,1.0	0.0
0.0,NA	0.0,1.0	-0.5
0.0,1.0	0.0,NA	0.5
0.358,NA	1.0,NA	-0.642
1.0,0.0	0.0,NA	0.5
NA,1.0	NA,0.0	1.0
1.0,NA	0.0,NA	1.0
0.0,0.117	0.0,0.209	-0.046
0.0,0.0	0.308,0.0	-0.154
NA,1.0	NA,0.0	1.0
0.0,NA	NA,1.0	-1.0
0.0,0.042	0.0,0.0	0.021
0.176,0.0	0.299,NA	-0.211
0.0,NA	1.0,0.0	-0.5
0.0,0.244	0.205,0.244	-0.102
1.0,NA	NA,0.0	1.0
NA,0.218	0.358,NA	-0.14
NA,1.0	0.229,NA	0.771
0.0,0.217	0.0,NA	0.108
