IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,0	1,1	0,1	0,0	134	49
3,2	1,1	0,1	0,0	59	49
0,0	7,3	0,1	3,1	73	49
0,1	0,0	0,0	3,0	90	49
1,0	2,0	0,0	0,1	205	49
0,0	0,1	0,1	0,0	129	49
0,0	1,2	1,0	1,0	61	49
1,0	0,1	0,0	1,0	672	49
0,1	21,18	0,0	14,14	53	49
2,0	0,0	1,2	1,0	100	49
1,0	1,2	0,0	0,2	66	49
2,0	4,2	2,0	1,3	307	49
0,1	1,0	0,0	0,1	112	49
0,1	0,0	2,1	1,0	394	49
0,1	0,0	0,1	0,1	90	49
0,0	3,0	2,0	0,2	53	49
1,0	1,0	2,0	0,2	238	49
0,1	1,0	0,1	1,0	568	49
0,0	2,0	0,1	1,0	70	49
0,2	1,0	0,0	1,0	250	49
1,0	1,0	1,0	0,0	88	49
1,0	0,2	0,0	1,0	265	49
0,1	0,0	0,0	0,1	87	49
3,0	0,0	0,0	1,0	440	49
0,1	5,2	0,1	1,1	185	49
0,0	2,2	3,0	5,2	66	49
0,1	0,0	0,0	0,1	64	49
0,0	1,0	0,1	0,0	107	49
0,1	4,4	0,0	1,1	280	49
1,0	2,1	1,0	1,0	115	49
0,0	1,0	1,0	0,1	62	49
0,2	4,4	2,1	5,2	76	49
1,0	0,0	0,0	0,1	56	49
0,1	0,2	1,0	1,0	88	49
0,1	0,0	1,0	1,0	165	49
0,1	5,3	0,0	3,0	59	49
