ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
64	0,0	0,1	1,0	1,0	159	147	1	1.0	NA,0.0	0.48,NA	-0.48
83	0,1	2,1	0,0	1,1	97	162	1	1.0	0.0,0.625	0.0,0.0	0.313
126	1,0	0,0	1,0	0,2	172	226	1	1.0	1.0,NA	1.0,0.0	0.5
194	1,1	0,2	1,0	2,2	215	146	0.845568897776	1.0	1.0,0.253	0.253,0.0	0.5
201	0,0	2,7	1,0	8,0	136	254	1	1.0	0.0,0.0	0.189,NA	-0.189
224	0,1	0,0	0,1	1,1	162	118	1	1.0	NA,1.0	0.0,0.421	0.789
255	0,0	0,1	0,1	0,1	137	93	1	1.0	NA,0.0	NA,0.404	-0.404
436	1,1	0,2	0,0	1,1	126	151	0.591394395938	1.0	1.0,0.375	0.0,0.0	0.688
448	0,0	1,0	2,0	1,0	212	127	1	1.0	0.0,NA	0.545,NA	-0.545
465	1,0	0,0	0,0	0,2	149	140	1	1.0	1.0,NA	NA,0.0	1.0
511	2,0	0,0	0,0	0,2	177	200	1	1.0	1.0,NA	NA,0.0	1.0
632	2,1	1,0	2,3	1,1	205	193	0.0586527176282	0.801587140919	0.653,1.0	0.653,0.739	0.131
698	0,1	0,0	1,1	3,2	145	225	1	1.0	NA,1.0	0.341,0.437	0.611
810	0,2	15,2	1,2	4,4	216	216	0.245601895107	1.0	0.0,0.5	0.2,0.333	-0.017
953	0,0	2,0	2,0	0,0	273	733	1	1.0	0.0,NA	1.0,NA	-1.0
1160	2,0	2,0	0,0	0,1	139	167	1	1.0	0.546,NA	NA,0.0	0.546
1181	0,1	2,1	0,0	1,0	172	215	1	1.0	0.0,0.556	0.0,NA	0.278
1227	1,0	0,0	0,1	0,1	198	166	1	1.0	1.0,NA	NA,0.456	0.544
1228	1,0	0,0	0,1	0,1	198	312	1	1.0	1.0,NA	NA,0.612	0.388
1229	0,0	0,1	0,1	0,0	166	285	1	1.0	NA,0.0	NA,1.0	-1.0
1268	0,1	0,0	0,0	1,0	126	126	1	1.0	NA,1.0	0.0,NA	1.0
1284	0,1	0,0	0,0	0,1	120	107	1	1.0	NA,1.0	NA,0.0	1.0
1344	1,0	1,0	0,1	0,0	126	128	1	1.0	0.504,NA	NA,1.0	-0.496
1511	1,2	0,1	0,1	0,0	193	175	1	1.0	1.0,0.645	NA,1.0	-0.177
1642	0,1	0,0	0,0	1,0	110	145	1	1.0	NA,1.0	0.0,NA	1.0
1695	1,0	0,0	0,1	2,0	156	151	1	1.0	1.0,NA	0.0,1.0	0.5
1794	0,2	0,2	0,3	0,2	148	139	1	1.0	NA,0.484	NA,0.585	-0.101
1795	0,0	0,1	1,0	0,0	119	110	1	1.0	NA,0.0	1.0,NA	-1.0
1800	0,1	1,1	0,1	0,0	155	191	1	1.0	0.0,0.552	NA,1.0	-0.724
1848	0,1	0,0	0,0	1,0	135	210	1	1.0	NA,1.0	0.0,NA	1.0
1874	0,0	1,0	1,2	0,0	164	129	1	1.0	0.0,NA	1.0,1.0	-1.0
1883	0,1	1,0	0,2	0,0	281	180	1	1.0	0.0,1.0	NA,1.0	-0.5
1931	3,4	8,4	0,1	6,7	77	237	0.000395832597105	0.0162291364813	0.536,0.755	0.0,0.305	0.493
1932	9,5	8,4	3,1	6,7	144	237	0.0316577344746	0.648983556729	0.649,0.673	0.451,0.19	0.341
2048	3,5	3,6	0,5	3,9	167	223	0.129063293556	1.0	0.572,0.527	0.0,0.426	0.337
2201	1,1	2,1	1,0	6,0	85	157	1	1.0	0.48,0.649	0.235,NA	0.33
2236	6,12	9,15	7,9	13,18	196	235	0.38971892533	1.0	0.444,0.49	0.392,0.375	0.083
2277	0,1	0,0	1,2	1,2	157	126	1	1.0	NA,1.0	0.445,0.445	0.555
2305	0,1	0,0	0,0	0,1	135	138	1	1.0	NA,1.0	NA,0.0	1.0
2322	2,0	0,0	0,1	0,1	226	199	1	1.0	1.0,NA	NA,0.468	0.532
2372	2,5	10,7	1,6	10,9	108	144	0.79814507594	1.0	0.211,0.488	0.118,0.471	0.055
