IncLevel1	IncLevel2	IncLevelDifference
NA,0.0	0.48,NA	-0.48
0.0,0.625	0.0,0.0	0.313
1.0,NA	1.0,0.0	0.5
1.0,0.253	0.253,0.0	0.5
0.0,0.0	0.189,NA	-0.189
NA,1.0	0.0,0.421	0.789
NA,0.0	NA,0.404	-0.404
1.0,0.375	0.0,0.0	0.688
0.0,NA	0.545,NA	-0.545
1.0,NA	NA,0.0	1.0
1.0,NA	NA,0.0	1.0
0.653,1.0	0.653,0.739	0.131
NA,1.0	0.341,0.437	0.611
0.0,0.5	0.2,0.333	-0.017
0.0,NA	1.0,NA	-1.0
0.546,NA	NA,0.0	0.546
0.0,0.556	0.0,NA	0.278
1.0,NA	NA,0.456	0.544
1.0,NA	NA,0.612	0.388
NA,0.0	NA,1.0	-1.0
NA,1.0	0.0,NA	1.0
NA,1.0	NA,0.0	1.0
0.504,NA	NA,1.0	-0.496
1.0,0.645	NA,1.0	-0.177
NA,1.0	0.0,NA	1.0
1.0,NA	0.0,1.0	0.5
NA,0.484	NA,0.585	-0.101
NA,0.0	1.0,NA	-1.0
0.0,0.552	NA,1.0	-0.724
NA,1.0	0.0,NA	1.0
0.0,NA	1.0,1.0	-1.0
0.0,1.0	NA,1.0	-0.5
0.536,0.755	0.0,0.305	0.493
0.649,0.673	0.451,0.19	0.341
0.572,0.527	0.0,0.426	0.337
0.48,0.649	0.235,NA	0.33
0.444,0.49	0.392,0.375	0.083
NA,1.0	0.445,0.445	0.555
NA,1.0	NA,0.0	1.0
1.0,NA	NA,0.468	0.532
0.211,0.488	0.118,0.471	0.055
