IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,0	0,1	1,0	1,0	159	147
0,1	2,1	0,0	1,1	97	162
1,0	0,0	1,0	0,2	172	226
1,1	0,2	1,0	2,2	215	146
0,0	2,7	1,0	8,0	136	254
0,1	0,0	0,1	1,1	162	118
0,0	0,1	0,1	0,1	137	93
1,1	0,2	0,0	1,1	126	151
0,0	1,0	2,0	1,0	212	127
1,0	0,0	0,0	0,2	149	140
2,0	0,0	0,0	0,2	177	200
2,1	1,0	2,3	1,1	205	193
0,1	0,0	1,1	3,2	145	225
0,2	15,2	1,2	4,4	216	216
0,0	2,0	2,0	0,0	273	733
2,0	2,0	0,0	0,1	139	167
0,1	2,1	0,0	1,0	172	215
1,0	0,0	0,1	0,1	198	166
1,0	0,0	0,1	0,1	198	312
0,0	0,1	0,1	0,0	166	285
0,1	0,0	0,0	1,0	126	126
0,1	0,0	0,0	0,1	120	107
1,0	1,0	0,1	0,0	126	128
1,2	0,1	0,1	0,0	193	175
0,1	0,0	0,0	1,0	110	145
1,0	0,0	0,1	2,0	156	151
0,2	0,2	0,3	0,2	148	139
0,0	0,1	1,0	0,0	119	110
0,1	1,1	0,1	0,0	155	191
0,1	0,0	0,0	1,0	135	210
0,0	1,0	1,2	0,0	164	129
0,1	1,0	0,2	0,0	281	180
3,4	8,4	0,1	6,7	77	237
9,5	8,4	3,1	6,7	144	237
3,5	3,6	0,5	3,9	167	223
1,1	2,1	1,0	6,0	85	157
6,12	9,15	7,9	13,18	196	235
0,1	0,0	1,2	1,2	157	126
0,1	0,0	0,0	0,1	135	138
2,0	0,0	0,1	0,1	226	199
2,5	10,7	1,6	10,9	108	144
