ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
64	0,0	0,1	1,0	1,0	159	147	1
83	0,1	2,1	0,0	1,1	97	162	1
126	1,0	0,0	1,0	0,2	172	226	1
194	1,1	0,2	1,0	2,2	215	146	0.845568897776
201	0,0	2,7	1,0	8,0	136	254	1
224	0,1	0,0	0,1	1,1	162	118	1
255	0,0	0,1	0,1	0,1	137	93	1
436	1,1	0,2	0,0	1,1	126	151	0.591394395938
448	0,0	1,0	2,0	1,0	212	127	1
465	1,0	0,0	0,0	0,2	149	140	1
511	2,0	0,0	0,0	0,2	177	200	1
632	2,1	1,0	2,3	1,1	205	193	0.0586527176282
698	0,1	0,0	1,1	3,2	145	225	1
810	0,2	15,2	1,2	4,4	216	216	0.245601895107
953	0,0	2,0	2,0	0,0	273	733	1
1160	2,0	2,0	0,0	0,1	139	167	1
1181	0,1	2,1	0,0	1,0	172	215	1
1227	1,0	0,0	0,1	0,1	198	166	1
1228	1,0	0,0	0,1	0,1	198	312	1
1229	0,0	0,1	0,1	0,0	166	285	1
1268	0,1	0,0	0,0	1,0	126	126	1
1284	0,1	0,0	0,0	0,1	120	107	1
1344	1,0	1,0	0,1	0,0	126	128	1
1511	1,2	0,1	0,1	0,0	193	175	1
1642	0,1	0,0	0,0	1,0	110	145	1
1695	1,0	0,0	0,1	2,0	156	151	1
1794	0,2	0,2	0,3	0,2	148	139	1
1795	0,0	0,1	1,0	0,0	119	110	1
1800	0,1	1,1	0,1	0,0	155	191	1
1848	0,1	0,0	0,0	1,0	135	210	1
1874	0,0	1,0	1,2	0,0	164	129	1
1883	0,1	1,0	0,2	0,0	281	180	1
1931	3,4	8,4	0,1	6,7	77	237	0.000395832597105
1932	9,5	8,4	3,1	6,7	144	237	0.0316577344746
2048	3,5	3,6	0,5	3,9	167	223	0.129063293556
2201	1,1	2,1	1,0	6,0	85	157	1
2236	6,12	9,15	7,9	13,18	196	235	0.38971892533
2277	0,1	0,0	1,2	1,2	157	126	1
2305	0,1	0,0	0,0	0,1	135	138	1
2322	2,0	0,0	0,1	0,1	226	199	1
2372	2,5	10,7	1,6	10,9	108	144	0.79814507594
