IncLevel1	IncLevel2	IncLevelDifference
0.261,NA	1.0,NA	-0.739
0.146,0.041	0.146,0.079	-0.019
0.0,0.028	NA,0.0	0.014
0.011,0.0	0.011,0.042	-0.021
0.0,0.0	NA,0.188	-0.188
NA,0.0	0.16,NA	-0.16
1.0,NA	NA,0.0	1.0
0.152,0.0	1.0,NA	-0.924
0.037,NA	1.0,1.0	-0.963
0.118,0.118	NA,1.0	-0.882
0.044,0.0	NA,0.12	-0.098
0.0,0.067	0.0,0.0	0.034
0.099,0.0	0.0,0.0	0.05
0.0,0.061	0.0,0.0	0.03
1.0,0.037	NA,1.0	-0.482
NA,0.0	NA,1.0	-1.0
NA,1.0	NA,0.0	1.0
0.0,NA	0.412,NA	-0.412
0.0,NA	0.05,NA	-0.05
NA,1.0	NA,0.0	1.0
NA,0.0	NA,1.0	-1.0
NA,1.0	NA,0.0	1.0
0.071,0.0	0.0,0.434	-0.181
1.0,0.0	0.0,0.258	0.371
0.0,1.0	0.071,1.0	-0.035
0.035,NA	NA,1.0	-0.965
0.0,0.027	0.0,0.0	0.013
1.0,1.0	0.0,0.0	1.0
NA,1.0	NA,0.0	1.0
NA,0.085	1.0,0.0	-0.415
0.038,NA	0.038,NA	0.0
NA,1.0	0.225,0.0	0.887
0.0,0.101	0.0,0.145	-0.022
0.072,1.0	NA,0.188	0.348
1.0,NA	NA,0.0	1.0
1.0,NA	0.0,NA	1.0
0.0,0.0	0.0,0.034	-0.017
0.145,0.0	0.0,0.254	-0.055
0.022,0.04	0.022,0.054	-0.007
0.287,NA	NA,0.0	0.287
NA,0.253	1.0,NA	-0.747
0.0,NA	0.224,NA	-0.224
1.0,1.0	0.15,1.0	0.425
1.0,0.306	1.0,NA	-0.347
NA,1.0	1.0,0.0	0.5
0.0,NA	1.0,NA	-1.0
0.0,NA	0.178,NA	-0.178
NA,0.028	0.0,0.0	0.028
0.0,0.1	0.0,NA	0.05
0.023,0.0	0.035,1.0	-0.506
0.091,0.287	0.0,NA	0.189
0.057,0.0	0.268,0.075	-0.143
NA,0.269	0.0,0.0	0.269
0.366,NA	1.0,1.0	-0.634
NA,1.0	1.0,0.086	0.457
0.0,NA	1.0,0.0	-0.5
NA,1.0	0.0,NA	1.0
0.0,0.0	0.0,1.0	-0.5
0.028,0.032	0.07,0.091	-0.051
0.063,0.0	0.0,0.0	0.032
0.0,1.0	0.0,1.0	0.0
NA,0.184	0.0,NA	0.184
1.0,NA	0.0,1.0	0.5
0.168,0.0	0.0,0.0	0.084
0.0,0.042	0.0,1.0	-0.479
0.0,0.39	1.0,NA	-0.805
1.0,0.0	0.0,NA	0.5
0.151,NA	1.0,NA	-0.849
0.0,NA	0.0,1.0	-0.5
0.0,NA	NA,1.0	-1.0
0.012,0.0	NA,0.0	0.006
0.0,0.016	0.0,NA	0.008
1.0,NA	0.0,NA	1.0
0.0,0.0	0.089,NA	-0.089
0.0,NA	0.121,NA	-0.121
NA,0.0	NA,1.0	-1.0
0.0,0.0	1.0,1.0	-1.0
0.0,0.0	0.158,0.0	-0.079
1.0,NA	NA,0.122	0.878
NA,0.083	0.0,0.353	-0.093
NA,0.0	0.277,NA	-0.277
NA,0.0	1.0,NA	-1.0
NA,0.0	1.0,NA	-1.0
NA,0.14	0.14,0.0	0.07
0.037,0.049	0.025,1.0	-0.469
1.0,0.0	0.0,0.129	0.435
NA,0.0	NA,1.0	-1.0
NA,0.0	NA,1.0	-1.0
NA,0.086	NA,0.0	0.086
1.0,1.0	0.0,1.0	0.5
0.0,0.0	0.0,0.093	-0.046
NA,0.259	NA,1.0	-0.741
NA,0.0	NA,1.0	-1.0
0.237,0.134	0.058,0.0	0.157
0.023,0.0	0.0,0.044	-0.01
NA,0.0	1.0,NA	-1.0
NA,1.0	0.0,NA	1.0
0.0,0.021	0.131,0.0	-0.055
0.0,0.018	NA,0.068	-0.059
0.031,0.055	0.0,NA	0.043
0.178,0.098	0.0,0.098	0.089
0.0,NA	NA,1.0	-1.0
0.0,NA	1.0,1.0	-1.0
1.0,NA	0.0,0.0	1.0
0.0,NA	1.0,0.303	-0.651
NA,1.0	NA,0.0	1.0
1.0,NA	NA,0.0	1.0
NA,0.0	NA,1.0	-1.0
1.0,1.0	0.239,NA	0.761
0.088,0.243	0.074,0.0	0.128
0.415,0.0	0.0,NA	0.207
NA,0.0	1.0,NA	-1.0
0.0,NA	1.0,NA	-1.0
0.0,0.121	0.099,0.121	-0.05
0.031,0.046	1.0,0.0	-0.462
NA,0.0	0.029,0.0	-0.015
0.05,0.05	1.0,NA	-0.95
NA,1.0	0.0,NA	1.0
0.0,0.0	0.0,1.0	-0.5
0.148,0.148	NA,0.0	0.148
0.0,0.0	0.0,1.0	-0.5
0.056,1.0	1.0,NA	-0.472
0.074,0.074	0.0,0.243	-0.048
0.052,0.0	NA,0.0	0.026
NA,1.0	0.0,0.0	1.0
NA,0.035	0.0,0.127	-0.028
0.0,0.092	0.0,0.0	0.046
