IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1,0	1,0	1,0	0,0	139	49
2,1	1,2	2,1	1,1	571	49
0,2	1,1	0,0	0,1	3354	49
1,0	4,4	1,1	4,1	1129	49
0,0	1,1	0,2	0,3	141	49
0,0	0,1	2,0	1,0	515	49
2,0	0,0	0,0	0,1	2208	49
1,0	2,3	1,0	0,0	137	49
2,0	2,0	1,2	0,0	1285	49
1,1	1,1	0,1	0,0	368	49
1,0	3,1	0,1	0,1	358	49
0,1	7,3	0,0	1,2	226	49
1,0	2,4	0,0	1,1	224	49
0,1	4,2	0,0	4,1	374	49
1,2	0,1	0,2	0,0	2537	49
0,0	0,1	0,1	0,0	137	49
0,1	0,0	0,0	0,1	316	49
0,0	1,0	2,0	1,0	140	49
0,0	3,0	1,0	1,0	938	49
0,1	0,0	0,0	0,1	124	49
0,0	0,1	0,1	0,0	752	49
0,2	0,0	0,0	0,1	2884	49
1,0	5,4	0,2	2,1	128	49
1,0	0,2	0,3	1,1	422	49
0,1	1,0	2,3	1,0	1285	49
1,0	1,0	0,2	0,0	1333	49
0,1	3,3	0,0	3,1	598	49
1,1	0,0	0,0	1,1	195	49
0,1	0,0	0,0	0,1	315	49
0,1	0,1	1,0	0,1	530	49
1,0	3,0	1,0	3,0	412	49
0,3	0,0	1,0	1,1	169	49
0,1	2,3	0,1	1,2	145	49
1,1	3,0	0,1	0,1	212	49
1,0	0,0	0,0	0,1	2827	49
1,0	0,0	0,0	1,0	143	49
0,0	6,5	0,1	2,5	275	49
2,0	2,6	0,2	1,1	288	49
1,2	14,15	1,2	14,11	157	49
1,0	1,0	0,0	0,1	122	49
0,1	0,1	1,0	0,0	145	49
0,0	1,0	1,0	1,0	170	49
8,6	0,0	9,10	1,0	2504	49
1,2	0,1	1,0	0,0	222	49
0,1	0,0	4,0	0,1	793	49
0,0	1,0	4,0	0,0	1103	49
0,0	1,0	1,0	1,0	226	49
0,1	0,3	0,0	1,2	557	49
0,2	5,2	0,0	1,0	441	49
2,0	3,2	1,2	1,0	1358	49
1,1	4,1	0,0	1,0	122	49
2,0	4,2	3,2	1,3	402	49
0,1	0,1	0,0	4,1	133	49
3,0	1,0	1,1	0,0	255	49
0,1	0,0	1,1	0,1	520	49
0,0	3,0	2,0	0,2	583	49
0,1	0,0	0,0	1,0	1050	49
0,0	1,1	0,1	2,0	133	49
2,2	7,6	3,4	4,4	490	49
1,0	4,3	0,0	5,6	183	49
0,1	1,0	0,1	1,0	647	49
0,1	0,1	0,0	1,0	217	49
3,0	0,0	0,2	1,0	579	49
1,0	1,4	0,0	5,4	243	49
0,1	3,3	0,2	3,0	370	49
0,3	1,1	1,0	0,0	230	49
1,0	0,1	0,0	1,0	217	49
1,0	1,0	1,0	0,0	276	49
0,0	1,0	0,1	1,0	331	49
0,0	1,0	0,2	0,0	551	49
1,0	6,3	0,0	0,2	675	49
0,2	4,4	0,0	1,0	1497	49
1,0	0,0	0,0	1,0	1273	49
0,0	1,1	1,0	1,0	501	49
0,0	1,0	1,0	1,0	355	49
0,0	0,1	0,1	0,0	185	49
0,0	1,1	2,2	0,0	759	49
0,0	5,2	1,0	1,2	261	49
1,0	0,0	0,1	0,1	354	49
0,1	0,2	0,3	2,1	270	49
0,0	0,1	1,0	1,0	128	49
0,0	0,1	1,0	0,0	217	49
0,0	0,1	2,0	0,0	1695	49
0,1	0,2	1,0	2,2	150	49
3,2	2,1	1,2	1,0	1894	49
1,0	0,1	0,2	3,1	660	49
0,0	0,1	0,1	0,0	134	49
0,0	0,2	0,1	0,0	554	49
0,1	0,1	0,0	0,4	519	49
1,1	0,0	0,3	1,0	354	49
0,0	3,2	0,1	1,1	478	49
0,1	0,1	0,1	0,0	140	49
0,0	0,1	0,1	0,0	124	49
2,3	2,6	1,0	5,3	158	49
3,0	6,5	0,2	1,2	1055	49
0,0	0,1	2,0	0,0	2686	49
0,2	0,0	0,0	1,0	4173	49
0,1	3,7	3,0	3,5	326	49
0,1	3,4	0,1	0,1	667	49
1,3	3,5	0,0	5,0	505	49
4,3	2,3	0,2	2,2	453	49
0,0	1,0	0,1	0,0	1155	49
0,0	1,0	2,1	0,0	772	49
2,0	0,0	0,0	1,1	491	49
0,0	1,0	1,2	0,1	225	49
0,2	0,0	0,0	0,1	378	49
1,0	0,0	0,0	0,2	199	49
0,0	0,1	0,1	0,0	142	49
4,2	0,0	2,0	1,0	312	49
3,2	5,1	2,0	4,4	305	49
2,0	1,1	0,0	1,0	138	49
0,0	0,1	1,0	0,0	350	49
0,0	1,0	1,0	0,0	1518	49
0,2	4,4	2,1	5,2	178	49
2,3	1,1	2,0	0,1	3066	49
0,0	0,1	1,0	1,1	1624	49
1,1	1,1	3,0	0,0	924	49
0,1	0,0	0,0	1,0	206	49
0,0	1,1	0,1	2,0	293	49
1,1	1,1	0,0	0,1	282	49
0,0	3,4	0,1	1,0	307	49
2,1	1,0	2,0	0,0	1640	49
1,1	4,4	0,1	1,1	153	49
1,0	3,2	0,0	0,1	300	49
0,1	0,0	0,0	1,3	479	49
0,1	0,2	0,2	4,1	676	49
0,1	1,2	0,0	3,2	242	49
