ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
13	1,0	1,0	1,0	0,0	139	49	1
14	2,1	1,2	2,1	1,1	571	49	0.643578018285
87	0,2	1,1	0,0	0,1	3354	49	1
230	1,0	4,4	1,1	4,1	1129	49	1
255	0,0	1,1	0,2	0,3	141	49	1
257	0,0	0,1	2,0	1,0	515	49	1
272	2,0	0,0	0,0	0,1	2208	49	1
324	1,0	2,3	1,0	0,0	137	49	1
334	2,0	2,0	1,2	0,0	1285	49	1
370	1,1	1,1	0,1	0,0	368	49	1
371	1,0	3,1	0,1	0,1	358	49	1
373	0,1	7,3	0,0	1,2	226	49	1
374	1,0	2,4	0,0	1,1	224	49	1
376	0,1	4,2	0,0	4,1	374	49	1
489	1,2	0,1	0,2	0,0	2537	49	1
526	0,0	0,1	0,1	0,0	137	49	1
541	0,1	0,0	0,0	0,1	316	49	1
574	0,0	1,0	2,0	1,0	140	49	1
619	0,0	3,0	1,0	1,0	938	49	1
663	0,1	0,0	0,0	0,1	124	49	1
676	0,0	0,1	0,1	0,0	752	49	1
711	0,2	0,0	0,0	0,1	2884	49	1
727	1,0	5,4	0,2	2,1	128	49	1
729	1,0	0,2	0,3	1,1	422	49	0.555516875198
791	0,1	1,0	2,3	1,0	1285	49	0.392105789684
797	1,0	1,0	0,2	0,0	1333	49	1
894	0,1	3,3	0,0	3,1	598	49	1
907	1,1	0,0	0,0	1,1	195	49	9.47857081712e-09
962	0,1	0,0	0,0	0,1	315	49	1
969	0,1	0,1	1,0	0,1	530	49	1
1004	1,0	3,0	1,0	3,0	412	49	1
1005	0,3	0,0	1,0	1,1	169	49	1
1014	0,1	2,3	0,1	1,2	145	49	1
1064	1,1	3,0	0,1	0,1	212	49	1
1086	1,0	0,0	0,0	0,1	2827	49	1
1179	1,0	0,0	0,0	1,0	143	49	1
1287	0,0	6,5	0,1	2,5	275	49	1
1291	2,0	2,6	0,2	1,1	288	49	1
1434	1,2	14,15	1,2	14,11	157	49	0.914029218053
1460	1,0	1,0	0,0	0,1	122	49	1
1493	0,1	0,1	1,0	0,0	145	49	1
1494	0,0	1,0	1,0	1,0	170	49	1
1497	8,6	0,0	9,10	1,0	2504	49	1
1499	1,2	0,1	1,0	0,0	222	49	1
1535	0,1	0,0	4,0	0,1	793	49	1
1586	0,0	1,0	4,0	0,0	1103	49	1
