ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
569	0,0	0,1	0,1	0,0	163	49	1	1.0	NA,0.0	NA,1.0	-1.0
1337	1,0	0,2	0,3	0,1	94	49	1	1.0	1.0,0.0	NA,0.61	-0.11
1901	2,0	2,0	0,0	1,1	221	49	1	1.0	0.181,NA	0.0,0.0	0.181
2076	0,1	0,0	0,0	1,0	52	49	1	1.0	NA,1.0	0.0,NA	1.0
2229	1,0	0,0	0,0	1,0	415	49	1	1.0	1.0,NA	0.0,NA	1.0
3163	0,2	2,0	1,2	0,0	132	49	0.00432846977019	0.192616904773	0.0,1.0	1.0,1.0	-0.5
3799	4,1	0,1	1,0	0,0	662	49	1	1.0	1.0,0.069	1.0,NA	-0.466
4937	2,2	1,0	0,2	0,0	106	49	1	1.0	0.48,1.0	NA,1.0	-0.26
7137	1,1	1,0	0,1	1,0	222	49	0.000706780440564	0.0629034592102	0.181,1.0	0.0,1.0	0.091
7324	1,1	0,0	0,1	1,0	123	49	1	1.0	1.0,1.0	0.0,1.0	0.5
7595	1,0	1,0	0,3	0,0	213	49	1	1.0	0.187,NA	NA,1.0	-0.813
8081	0,2	0,0	0,0	1,0	190	49	1	1.0	NA,1.0	0.0,NA	1.0
8411	0,0	0,1	0,1	0,0	146	49	1	1.0	NA,0.0	NA,1.0	-1.0
9104	0,0	1,0	0,2	0,0	1656	49	1	1.0	0.0,NA	NA,1.0	-1.0
9430	0,0	0,1	1,0	0,0	96	49	1	1.0	NA,0.0	1.0,NA	-1.0
9864	0,0	1,0	0,2	0,0	137	49	1	1.0	0.0,NA	NA,1.0	-1.0
10100	0,1	0,0	2,1	1,0	243	49	1	1.0	NA,1.0	0.287,1.0	0.357
10449	0,0	1,0	0,1	0,0	134	49	1	1.0	0.0,NA	NA,1.0	-1.0
11349	15,13	0,0	0,0	0,13	85	49	1	1.0	1.0,1.0	NA,0.0	1.0
12165	0,1	2,0	0,0	1,0	306	49	1	1.0	0.0,1.0	0.0,NA	0.5
12248	1,0	0,0	0,0	0,1	119	49	1	1.0	1.0,NA	NA,0.0	1.0
12333	1,0	0,0	0,0	1,0	132	49	1	1.0	1.0,NA	0.0,NA	1.0
12334	1,0	0,0	0,0	1,0	149	49	1	1.0	1.0,NA	0.0,NA	1.0
12464	0,1	0,0	0,0	1,0	154	49	1	1.0	NA,1.0	0.0,NA	1.0
12593	3,2	0,0	3,2	1,0	199	49	1	1.0	1.0,1.0	0.425,1.0	0.287
12895	2,1	0,1	0,1	0,0	142	49	1	1.0	1.0,0.257	NA,1.0	-0.371
13459	0,0	2,1	0,2	1,0	351	49	0.451200654873	1.0	0.0,0.0	0.0,1.0	-0.5
13600	0,0	0,1	0,1	1,1	120	49	1	1.0	NA,0.0	0.0,0.29	-0.145
14034	1,0	0,0	0,3	1,0	433	49	1	1.0	1.0,NA	0.0,1.0	0.5
14879	0,0	0,1	0,1	0,0	133	49	1	1.0	NA,0.0	NA,1.0	-1.0
14952	1,0	0,0	0,0	1,0	127	49	1	1.0	1.0,NA	0.0,NA	1.0
15844	2,0	1,1	0,0	0,1	295	49	1	1.0	0.249,0.0	NA,0.0	0.124
16384	0,1	0,1	0,0	1,0	505	49	1	1.0	NA,0.088	0.0,NA	0.088
16555	0,0	1,1	0,1	0,1	154	49	1	1.0	0.0,0.0	NA,0.241	-0.241
16641	3,0	0,0	1,0	1,0	173	49	1	1.0	1.0,NA	0.221,NA	0.779
17364	0,0	0,1	4,3	0,0	415	49	1	1.0	NA,0.0	1.0,1.0	-1.0
17404	0,0	1,0	0,1	0,0	214	49	1	1.0	0.0,NA	NA,1.0	-1.0
18471	8,4	0,0	5,4	0,1	149	49	1	1.0	1.0,1.0	1.0,0.568	0.216
20001	1,0	0,1	1,0	0,1	544	49	1	1.0	1.0,0.0	1.0,0.0	0.0
21128	0,0	0,1	1,0	0,0	169	49	1	1.0	NA,0.0	1.0,NA	-1.0
21365	0,0	0,1	0,1	0,0	185	49	1	1.0	NA,0.0	NA,1.0	-1.0
21425	1,0	0,1	0,0	1,0	206	49	1	1.0	1.0,0.0	0.0,NA	0.5
21510	1,0	0,0	0,0	1,0	100	49	1	1.0	1.0,NA	0.0,NA	1.0
21511	1,0	0,0	0,0	1,0	97	49	1	1.0	1.0,NA	0.0,NA	1.0
21875	2,3	0,0	0,1	0,1	249	49	1	1.0	1.0,1.0	NA,0.164	0.836
22431	2,1	0,1	1,4	0,0	152	49	1	1.0	1.0,0.244	1.0,1.0	-0.378
22926	0,1	0,2	0,0	0,3	138	49	1	1.0	NA,0.151	NA,0.0	0.151
23391	1,0	0,0	0,0	0,1	128	49	1	1.0	1.0,NA	NA,0.0	1.0
24073	0,1	0,1	0,0	1,0	102	49	1	1.0	NA,0.325	0.0,NA	0.325
25374	0,2	0,0	0,0	0,2	1159	49	1	1.0	NA,1.0	NA,0.0	1.0
25393	0,1	1,0	0,1	0,0	175	49	1	1.0	0.0,1.0	NA,1.0	-0.5
25467	1,1	0,0	1,2	0,1	199	49	1	1.0	1.0,1.0	1.0,0.33	0.335
26078	0,0	1,0	2,0	1,0	163	49	1	1.0	0.0,NA	0.375,NA	-0.375
26079	7,2	0,1	6,5	0,0	133	49	1	1.0	1.0,0.424	1.0,1.0	-0.288
26596	0,1	1,0	5,3	0,0	124	49	1	1.0	0.0,1.0	1.0,1.0	-0.5
26597	0,0	0,1	2,0	2,1	205	49	1	1.0	NA,0.0	0.193,0.0	-0.097
26644	0,1	1,0	0,0	1,0	114	49	1	1.0	0.0,1.0	0.0,NA	0.5
27986	1,0	0,0	0,0	0,1	135	49	1	1.0	1.0,NA	NA,0.0	1.0
28583	1,0	0,0	0,1	1,0	156	49	1	1.0	1.0,NA	0.0,1.0	0.5
28817	1,3	1,1	3,2	0,0	166	49	0.0612908536387	1.0	0.228,0.47	1.0,1.0	-0.651
29089	0,1	0,1	1,2	0,0	176	49	1	1.0	NA,0.218	1.0,1.0	-0.782
29643	1,1	0,0	0,0	0,1	226	49	1	1.0	1.0,1.0	NA,0.0	1.0
30248	4,3	0,0	1,3	0,1	231	49	1	1.0	1.0,1.0	1.0,0.389	0.305
31132	10,6	1,0	7,6	0,0	328	49	1	1.0	0.599,1.0	1.0,1.0	-0.201
31133	10,10	1,0	9,8	0,0	221	49	1	1.0	0.689,1.0	1.0,1.0	-0.155
31161	0,1	0,0	0,0	1,0	164	49	1	1.0	NA,1.0	0.0,NA	1.0
31751	3,0	2,2	1,1	1,0	196	49	0.629189819562	1.0	0.273,0.0	0.2,1.0	-0.463
31999	0,0	0,1	1,0	0,1	153	49	1	1.0	NA,0.0	1.0,0.0	-0.5
32195	0,0	0,1	0,2	0,0	245	49	1	1.0	NA,0.0	NA,1.0	-1.0
32196	0,0	0,1	0,2	0,0	241	49	1	1.0	NA,0.0	NA,1.0	-1.0
32451	0,2	0,0	0,0	1,0	98	49	1	1.0	NA,1.0	0.0,NA	1.0
32953	1,0	0,0	0,0	1,0	64	49	1	1.0	1.0,NA	0.0,NA	1.0
33419	0,0	1,0	1,1	0,0	129	49	1	1.0	0.0,NA	1.0,1.0	-1.0
33948	0,1	4,0	2,0	1,1	2836	49	1	1.0	0.0,1.0	0.033,0.0	0.483
33952	0,1	4,0	0,0	1,1	74	49	1	1.0	0.0,1.0	0.0,0.0	0.5
33953	0,1	4,0	0,0	1,1	71	49	1	1.0	0.0,1.0	0.0,0.0	0.5
34440	0,1	0,0	0,0	0,1	108	49	1	1.0	NA,1.0	NA,0.0	1.0
34627	12,17	1,0	2,3	0,0	173	49	1	1.0	0.773,1.0	1.0,1.0	-0.113
36125	0,1	2,0	0,0	0,2	144	49	1	1.0	0.0,1.0	NA,0.0	0.5
36373	0,2	1,1	0,0	0,1	178	49	1	1.0	0.0,0.355	NA,0.0	0.177
36479	1,1	0,0	0,0	1,0	120	49	1	1.0	1.0,1.0	0.0,NA	1.0
36480	2,2	0,0	0,0	1,0	238	49	1	1.0	1.0,1.0	0.0,NA	1.0
37357	1,0	0,0	0,0	1,0	169	49	1	1.0	1.0,NA	0.0,NA	1.0
37730	1,0	1,1	0,0	0,1	94	49	1	1.0	0.343,0.0	NA,0.0	0.172
