IncLevel1	IncLevel2	IncLevelDifference
NA,0.0	NA,1.0	-1.0
1.0,0.0	NA,0.61	-0.11
0.181,NA	0.0,0.0	0.181
NA,1.0	0.0,NA	1.0
1.0,NA	0.0,NA	1.0
0.0,1.0	1.0,1.0	-0.5
1.0,0.069	1.0,NA	-0.466
0.48,1.0	NA,1.0	-0.26
0.181,1.0	0.0,1.0	0.091
1.0,1.0	0.0,1.0	0.5
0.187,NA	NA,1.0	-0.813
NA,1.0	0.0,NA	1.0
NA,0.0	NA,1.0	-1.0
0.0,NA	NA,1.0	-1.0
NA,0.0	1.0,NA	-1.0
0.0,NA	NA,1.0	-1.0
NA,1.0	0.287,1.0	0.357
0.0,NA	NA,1.0	-1.0
1.0,1.0	NA,0.0	1.0
0.0,1.0	0.0,NA	0.5
1.0,NA	NA,0.0	1.0
1.0,NA	0.0,NA	1.0
1.0,NA	0.0,NA	1.0
NA,1.0	0.0,NA	1.0
1.0,1.0	0.425,1.0	0.287
1.0,0.257	NA,1.0	-0.371
0.0,0.0	0.0,1.0	-0.5
NA,0.0	0.0,0.29	-0.145
1.0,NA	0.0,1.0	0.5
NA,0.0	NA,1.0	-1.0
1.0,NA	0.0,NA	1.0
0.249,0.0	NA,0.0	0.124
NA,0.088	0.0,NA	0.088
0.0,0.0	NA,0.241	-0.241
1.0,NA	0.221,NA	0.779
NA,0.0	1.0,1.0	-1.0
0.0,NA	NA,1.0	-1.0
1.0,1.0	1.0,0.568	0.216
1.0,0.0	1.0,0.0	0.0
NA,0.0	1.0,NA	-1.0
NA,0.0	NA,1.0	-1.0
1.0,0.0	0.0,NA	0.5
1.0,NA	0.0,NA	1.0
1.0,NA	0.0,NA	1.0
1.0,1.0	NA,0.164	0.836
1.0,0.244	1.0,1.0	-0.378
NA,0.151	NA,0.0	0.151
1.0,NA	NA,0.0	1.0
NA,0.325	0.0,NA	0.325
NA,1.0	NA,0.0	1.0
0.0,1.0	NA,1.0	-0.5
1.0,1.0	1.0,0.33	0.335
0.0,NA	0.375,NA	-0.375
1.0,0.424	1.0,1.0	-0.288
0.0,1.0	1.0,1.0	-0.5
NA,0.0	0.193,0.0	-0.097
0.0,1.0	0.0,NA	0.5
1.0,NA	NA,0.0	1.0
1.0,NA	0.0,1.0	0.5
0.228,0.47	1.0,1.0	-0.651
NA,0.218	1.0,1.0	-0.782
1.0,1.0	NA,0.0	1.0
1.0,1.0	1.0,0.389	0.305
0.599,1.0	1.0,1.0	-0.201
0.689,1.0	1.0,1.0	-0.155
NA,1.0	0.0,NA	1.0
0.273,0.0	0.2,1.0	-0.463
NA,0.0	1.0,0.0	-0.5
NA,0.0	NA,1.0	-1.0
NA,0.0	NA,1.0	-1.0
NA,1.0	0.0,NA	1.0
1.0,NA	0.0,NA	1.0
0.0,NA	1.0,1.0	-1.0
0.0,1.0	0.033,0.0	0.483
0.0,1.0	0.0,0.0	0.5
0.0,1.0	0.0,0.0	0.5
NA,1.0	NA,0.0	1.0
0.773,1.0	1.0,1.0	-0.113
0.0,1.0	NA,0.0	0.5
0.0,0.355	NA,0.0	0.177
1.0,1.0	0.0,NA	1.0
1.0,1.0	0.0,NA	1.0
1.0,NA	0.0,NA	1.0
0.343,0.0	NA,0.0	0.172
0.0,NA	NA,0.471	-0.471
1.0,0.436	1.0,1.0	-0.282
1.0,0.652	1.0,1.0	-0.174
1.0,0.596	1.0,1.0	-0.202
0.0,0.201	0.274,0.059	-0.066
