IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,0	0,1	0,1	0,0	163	49
1,0	0,2	0,3	0,1	94	49
2,0	2,0	0,0	1,1	221	49
0,1	0,0	0,0	1,0	52	49
1,0	0,0	0,0	1,0	415	49
0,2	2,0	1,2	0,0	132	49
4,1	0,1	1,0	0,0	662	49
2,2	1,0	0,2	0,0	106	49
1,1	1,0	0,1	1,0	222	49
1,1	0,0	0,1	1,0	123	49
1,0	1,0	0,3	0,0	213	49
0,2	0,0	0,0	1,0	190	49
0,0	0,1	0,1	0,0	146	49
0,0	1,0	0,2	0,0	1656	49
0,0	0,1	1,0	0,0	96	49
0,0	1,0	0,2	0,0	137	49
0,1	0,0	2,1	1,0	243	49
0,0	1,0	0,1	0,0	134	49
15,13	0,0	0,0	0,13	85	49
0,1	2,0	0,0	1,0	306	49
1,0	0,0	0,0	0,1	119	49
1,0	0,0	0,0	1,0	132	49
1,0	0,0	0,0	1,0	149	49
0,1	0,0	0,0	1,0	154	49
3,2	0,0	3,2	1,0	199	49
2,1	0,1	0,1	0,0	142	49
0,0	2,1	0,2	1,0	351	49
0,0	0,1	0,1	1,1	120	49
1,0	0,0	0,3	1,0	433	49
0,0	0,1	0,1	0,0	133	49
1,0	0,0	0,0	1,0	127	49
2,0	1,1	0,0	0,1	295	49
0,1	0,1	0,0	1,0	505	49
0,0	1,1	0,1	0,1	154	49
3,0	0,0	1,0	1,0	173	49
0,0	0,1	4,3	0,0	415	49
0,0	1,0	0,1	0,0	214	49
8,4	0,0	5,4	0,1	149	49
1,0	0,1	1,0	0,1	544	49
0,0	0,1	1,0	0,0	169	49
0,0	0,1	0,1	0,0	185	49
1,0	0,1	0,0	1,0	206	49
1,0	0,0	0,0	1,0	100	49
1,0	0,0	0,0	1,0	97	49
2,3	0,0	0,1	0,1	249	49
2,1	0,1	1,4	0,0	152	49
0,1	0,2	0,0	0,3	138	49
1,0	0,0	0,0	0,1	128	49
0,1	0,1	0,0	1,0	102	49
0,2	0,0	0,0	0,2	1159	49
0,1	1,0	0,1	0,0	175	49
1,1	0,0	1,2	0,1	199	49
0,0	1,0	2,0	1,0	163	49
7,2	0,1	6,5	0,0	133	49
0,1	1,0	5,3	0,0	124	49
0,0	0,1	2,0	2,1	205	49
0,1	1,0	0,0	1,0	114	49
1,0	0,0	0,0	0,1	135	49
1,0	0,0	0,1	1,0	156	49
1,3	1,1	3,2	0,0	166	49
0,1	0,1	1,2	0,0	176	49
1,1	0,0	0,0	0,1	226	49
4,3	0,0	1,3	0,1	231	49
10,6	1,0	7,6	0,0	328	49
10,10	1,0	9,8	0,0	221	49
0,1	0,0	0,0	1,0	164	49
3,0	2,2	1,1	1,0	196	49
0,0	0,1	1,0	0,1	153	49
0,0	0,1	0,2	0,0	245	49
0,0	0,1	0,2	0,0	241	49
0,2	0,0	0,0	1,0	98	49
1,0	0,0	0,0	1,0	64	49
0,0	1,0	1,1	0,0	129	49
0,1	4,0	2,0	1,1	2836	49
0,1	4,0	0,0	1,1	74	49
0,1	4,0	0,0	1,1	71	49
0,1	0,0	0,0	0,1	108	49
12,17	1,0	2,3	0,0	173	49
0,1	2,0	0,0	0,2	144	49
0,2	1,1	0,0	0,1	178	49
1,1	0,0	0,0	1,0	120	49
2,2	0,0	0,0	1,0	238	49
1,0	0,0	0,0	1,0	169	49
1,0	1,1	0,0	0,1	94	49
0,0	1,0	0,1	0,1	55	49
5,4	0,2	5,2	0,0	127	49
13,18	0,2	16,23	0,0	235	49
9,16	0,2	14,18	0,0	266	49
0,2	2,3	1,1	1,6	130	49
