ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
569	0,0	0,1	0,1	0,0	163	49	1
1337	1,0	0,2	0,3	0,1	94	49	1
1901	2,0	2,0	0,0	1,1	221	49	1
2076	0,1	0,0	0,0	1,0	52	49	1
2229	1,0	0,0	0,0	1,0	415	49	1
3163	0,2	2,0	1,2	0,0	132	49	0.00432846977019
3799	4,1	0,1	1,0	0,0	662	49	1
4937	2,2	1,0	0,2	0,0	106	49	1
7137	1,1	1,0	0,1	1,0	222	49	0.000706780440564
7324	1,1	0,0	0,1	1,0	123	49	1
7595	1,0	1,0	0,3	0,0	213	49	1
8081	0,2	0,0	0,0	1,0	190	49	1
8411	0,0	0,1	0,1	0,0	146	49	1
9104	0,0	1,0	0,2	0,0	1656	49	1
9430	0,0	0,1	1,0	0,0	96	49	1
9864	0,0	1,0	0,2	0,0	137	49	1
10100	0,1	0,0	2,1	1,0	243	49	1
10449	0,0	1,0	0,1	0,0	134	49	1
11349	15,13	0,0	0,0	0,13	85	49	1
12165	0,1	2,0	0,0	1,0	306	49	1
12248	1,0	0,0	0,0	0,1	119	49	1
12333	1,0	0,0	0,0	1,0	132	49	1
12334	1,0	0,0	0,0	1,0	149	49	1
12464	0,1	0,0	0,0	1,0	154	49	1
12593	3,2	0,0	3,2	1,0	199	49	1
12895	2,1	0,1	0,1	0,0	142	49	1
13459	0,0	2,1	0,2	1,0	351	49	0.451200654873
13600	0,0	0,1	0,1	1,1	120	49	1
14034	1,0	0,0	0,3	1,0	433	49	1
14879	0,0	0,1	0,1	0,0	133	49	1
14952	1,0	0,0	0,0	1,0	127	49	1
15844	2,0	1,1	0,0	0,1	295	49	1
16384	0,1	0,1	0,0	1,0	505	49	1
16555	0,0	1,1	0,1	0,1	154	49	1
16641	3,0	0,0	1,0	1,0	173	49	1
17364	0,0	0,1	4,3	0,0	415	49	1
17404	0,0	1,0	0,1	0,0	214	49	1
18471	8,4	0,0	5,4	0,1	149	49	1
20001	1,0	0,1	1,0	0,1	544	49	1
21128	0,0	0,1	1,0	0,0	169	49	1
21365	0,0	0,1	0,1	0,0	185	49	1
21425	1,0	0,1	0,0	1,0	206	49	1
21510	1,0	0,0	0,0	1,0	100	49	1
21511	1,0	0,0	0,0	1,0	97	49	1
21875	2,3	0,0	0,1	0,1	249	49	1
22431	2,1	0,1	1,4	0,0	152	49	1
22926	0,1	0,2	0,0	0,3	138	49	1
23391	1,0	0,0	0,0	0,1	128	49	1
24073	0,1	0,1	0,0	1,0	102	49	1
25374	0,2	0,0	0,0	0,2	1159	49	1
25393	0,1	1,0	0,1	0,0	175	49	1
25467	1,1	0,0	1,2	0,1	199	49	1
26078	0,0	1,0	2,0	1,0	163	49	1
26079	7,2	0,1	6,5	0,0	133	49	1
26596	0,1	1,0	5,3	0,0	124	49	1
26597	0,0	0,1	2,0	2,1	205	49	1
26644	0,1	1,0	0,0	1,0	114	49	1
27986	1,0	0,0	0,0	0,1	135	49	1
28583	1,0	0,0	0,1	1,0	156	49	1
28817	1,3	1,1	3,2	0,0	166	49	0.0612908536387
29089	0,1	0,1	1,2	0,0	176	49	1
29643	1,1	0,0	0,0	0,1	226	49	1
30248	4,3	0,0	1,3	0,1	231	49	1
31132	10,6	1,0	7,6	0,0	328	49	1
31133	10,10	1,0	9,8	0,0	221	49	1
31161	0,1	0,0	0,0	1,0	164	49	1
31751	3,0	2,2	1,1	1,0	196	49	0.629189819562
31999	0,0	0,1	1,0	0,1	153	49	1
32195	0,0	0,1	0,2	0,0	245	49	1
32196	0,0	0,1	0,2	0,0	241	49	1
32451	0,2	0,0	0,0	1,0	98	49	1
32953	1,0	0,0	0,0	1,0	64	49	1
33419	0,0	1,0	1,1	0,0	129	49	1
33948	0,1	4,0	2,0	1,1	2836	49	1
33952	0,1	4,0	0,0	1,1	74	49	1
33953	0,1	4,0	0,0	1,1	71	49	1
34440	0,1	0,0	0,0	0,1	108	49	1
34627	12,17	1,0	2,3	0,0	173	49	1
36125	0,1	2,0	0,0	0,2	144	49	1
36373	0,2	1,1	0,0	0,1	178	49	1
36479	1,1	0,0	0,0	1,0	120	49	1
36480	2,2	0,0	0,0	1,0	238	49	1
37357	1,0	0,0	0,0	1,0	169	49	1
37730	1,0	1,1	0,0	0,1	94	49	1
38241	0,0	1,0	0,1	0,1	55	49	1
38413	5,4	0,2	5,2	0,0	127	49	0.394779860121
38414	13,18	0,2	16,23	0,0	235	49	0.64666989025
38415	9,16	0,2	14,18	0,0	266	49	0.585897829595
40660	0,2	2,3	1,1	1,6	130	49	0.855222530802
