IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,0	0,2	1,0	0,1	52	49
1,0	3,1	0,1	0,1	98	49
1,0	0,0	0,0	0,1	98	49
0,1	0,1	1,1	0,0	98	49
1,0	4,0	0,0	4,0	98	49
0,1	0,1	0,0	1,0	77	49
1,0	0,0	0,0	0,1	67	49
0,1	0,1	1,0	0,1	98	49
0,0	0,1	1,0	0,0	66	49
0,0	1,0	1,0	1,0	98	49
0,0	1,0	0,1	0,0	80	49
0,0	1,2	2,1	4,3	98	49
0,1	0,1	0,0	1,0	52	49
0,1	0,1	0,0	1,0	55	49
0,1	0,0	0,0	1,0	98	49
0,0	0,1	0,1	0,0	70	49
1,0	0,0	0,0	2,0	69	49
0,0	3,6	1,0	1,0	65	49
1,0	0,2	0,0	0,1	98	49
0,0	0,1	1,0	0,0	52	49
0,3	1,0	2,0	1,0	98	49
1,1	0,1	0,1	0,0	56	49
0,0	0,1	0,1	0,0	80	49
1,1	0,1	0,0	0,4	52	49
1,0	0,0	0,0	0,1	67	49
0,1	1,2	0,0	1,1	67	49
0,1	3,4	0,1	0,1	97	49
1,0	0,0	0,0	0,1	58	49
6,1	0,0	4,4	1,0	56	49
0,1	4,3	1,0	3,5	80	49
1,0	1,0	0,1	3,0	98	49
