ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
197	0,0	1,1	0,1	0,0	98	49	1	1.0	0.0,0.0	NA,1.0	-1.0
293	3,2	1,1	0,1	0,0	59	49	1	1.0	0.714,0.624	NA,1.0	-0.331
297	0,0	7,3	0,1	3,1	73	49	1	1.0	0.0,0.0	0.0,0.402	-0.201
309	0,1	0,0	0,0	3,0	90	49	1	1.0	NA,1.0	0.0,NA	1.0
439	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
921	0,0	1,2	1,0	1,0	61	49	1	1.0	0.0,0.0	0.445,NA	-0.445
1013	1,0	0,1	0,0	1,0	98	49	1	1.0	1.0,0.0	0.0,NA	0.5
1122	0,1	21,18	0,0	14,14	53	49	1	1.0	0.0,0.049	0.0,0.0	0.025
1186	2,0	0,0	1,2	1,0	98	49	1	1.0	1.0,NA	0.333,1.0	0.334
1384	1,0	1,2	0,0	0,2	66	49	1	1.0	0.426,0.0	NA,0.0	0.213
1485	1,0	4,2	0,0	1,3	98	49	1	1.0	0.111,0.0	0.0,0.0	0.056
1497	0,1	1,0	0,0	0,1	98	49	1	1.0	0.0,1.0	NA,0.0	0.5
1595	0,1	0,0	0,1	0,1	90	49	1	1.0	NA,1.0	NA,0.353	0.647
1671	0,0	3,0	2,0	0,2	53	49	1	1.0	0.0,NA	1.0,0.0	-0.5
1753	1,0	1,0	0,0	0,2	98	49	1	1.0	0.333,NA	NA,0.0	0.333
1768	0,1	1,0	0,1	1,0	98	49	1	1.0	0.0,1.0	0.0,1.0	0.0
1772	0,0	2,0	0,1	1,0	70	49	1	1.0	0.0,NA	0.0,1.0	-0.5
2003	1,0	1,0	1,0	0,0	88	49	1	1.0	0.358,NA	1.0,NA	-0.642
2062	1,0	0,2	0,0	1,0	98	49	1	1.0	1.0,0.0	0.0,NA	0.5
2082	0,1	0,0	0,0	0,1	87	49	1	1.0	NA,1.0	NA,0.0	1.0
2278	2,0	0,0	0,0	1,0	98	49	1	1.0	1.0,NA	0.0,NA	1.0
2483	0,1	5,2	0,1	1,1	98	49	1	1.0	0.0,0.2	0.0,0.333	-0.067
2531	0,0	2,2	3,0	5,2	66	49	0.109375936822	1.0	0.0,0.0	0.308,0.0	-0.154
3183	0,1	0,0	0,0	0,1	64	49	1	1.0	NA,1.0	NA,0.0	1.0
3184	0,0	1,0	0,1	0,0	98	49	1	1.0	0.0,NA	NA,1.0	-1.0
4054	0,1	4,4	0,0	1,1	98	49	1	1.0	0.0,0.111	0.0,0.0	0.056
4206	1,0	2,1	1,0	1,0	98	49	1	1.0	0.2,0.0	0.333,NA	-0.233
4636	0,0	1,0	1,0	0,1	62	49	1	1.0	0.0,NA	1.0,0.0	-0.5
4657	0,2	4,4	2,1	5,2	76	49	0.266442531628	1.0	0.0,0.244	0.205,0.244	-0.102
4774	1,0	0,0	0,0	0,1	56	49	1	1.0	1.0,NA	NA,0.0	1.0
4821	0,1	0,2	1,0	1,0	88	49	1	1.0	NA,0.218	0.358,NA	-0.14
4957	0,1	0,0	1,0	1,0	98	49	1	1.0	NA,1.0	0.333,NA	0.667
5292	0,1	5,3	0,0	3,0	59	49	1	1.0	0.0,0.217	0.0,NA	0.108
