IncLevel1	IncLevel2	IncLevelDifference
0.0,0.0	NA,1.0	-1.0
0.714,0.624	NA,1.0	-0.331
0.0,0.0	0.0,0.402	-0.201
NA,1.0	0.0,NA	1.0
NA,0.0	NA,1.0	-1.0
0.0,0.0	0.445,NA	-0.445
1.0,0.0	0.0,NA	0.5
0.0,0.049	0.0,0.0	0.025
1.0,NA	0.333,1.0	0.334
0.426,0.0	NA,0.0	0.213
0.111,0.0	0.0,0.0	0.056
0.0,1.0	NA,0.0	0.5
NA,1.0	NA,0.353	0.647
0.0,NA	1.0,0.0	-0.5
0.333,NA	NA,0.0	0.333
0.0,1.0	0.0,1.0	0.0
0.0,NA	0.0,1.0	-0.5
0.358,NA	1.0,NA	-0.642
1.0,0.0	0.0,NA	0.5
NA,1.0	NA,0.0	1.0
1.0,NA	0.0,NA	1.0
0.0,0.2	0.0,0.333	-0.067
0.0,0.0	0.308,0.0	-0.154
NA,1.0	NA,0.0	1.0
0.0,NA	NA,1.0	-1.0
0.0,0.111	0.0,0.0	0.056
0.2,0.0	0.333,NA	-0.233
0.0,NA	1.0,0.0	-0.5
0.0,0.244	0.205,0.244	-0.102
1.0,NA	NA,0.0	1.0
NA,0.218	0.358,NA	-0.14
NA,1.0	0.333,NA	0.667
0.0,0.217	0.0,NA	0.108
