ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
83	0,1	2,0	0,0	1,1	97	98	1
255	0,0	0,1	0,1	0,1	98	93	1
436	1,1	0,1	0,0	0,1	98	98	1
465	1,0	0,0	0,0	0,1	98	98	1
632	0,1	1,0	0,2	1,0	98	98	0.0492164831103
810	0,1	7,2	0,0	1,2	98	98	1
1268	0,1	0,0	0,0	1,0	98	98	1
1344	0,0	1,0	0,1	0,0	98	98	1
1695	1,0	0,0	0,1	2,0	98	98	1
1794	0,2	0,2	0,2	0,2	98	98	1
1795	0,0	0,1	1,0	0,0	98	98	1
1931	3,4	1,0	0,1	1,1	77	98	0.00530489970728
1932	3,4	1,0	0,1	1,1	98	98	0.00243317385393
2201	1,1	1,1	1,0	2,0	85	98	1
2236	0,3	3,3	2,3	3,0	98	98	0.0513284983696
2277	0,1	0,0	0,0	1,1	98	98	1
2372	2,3	3,4	1,6	3,3	98	98	0.667178020602
