IncLevel1	IncLevel2	IncLevelDifference
0.333,NA	1.0,NA	-0.667
0.5,0.2	0.0,0.333	0.183
0.0,0.333	NA,0.0	0.167
0.111,0.0	0.111,0.333	-0.167
0.0,0.0	NA,0.25	-0.25
NA,0.0	0.333,NA	-0.333
1.0,NA	NA,0.0	1.0
0.2,0.0	1.0,NA	-0.9
0.333,NA	1.0,NA	-0.667
0.333,0.333	NA,1.0	-0.667
0.143,0.0	NA,0.333	-0.262
0.0,0.143	0.0,0.0	0.071
0.2,0.0	0.0,0.0	0.1
0.0,0.2	0.0,0.0	0.1
NA,0.0	NA,1.0	-1.0
0.0,NA	0.333,NA	-0.333
0.0,NA	0.333,NA	-0.333
NA,1.0	NA,0.0	1.0
0.091,0.0	0.0,0.333	-0.121
1.0,0.0	0.0,0.6	0.2
0.0,1.0	0.0,1.0	0.0
0.0,0.143	0.0,0.0	0.071
1.0,1.0	0.0,0.0	1.0
NA,1.0	NA,0.0	1.0
NA,0.333	1.0,0.0	-0.167
0.143,NA	0.143,NA	0.0
NA,1.0	0.0,0.0	1.0
0.0,0.143	0.0,0.2	-0.029
0.143,1.0	NA,0.333	0.238
1.0,NA	NA,0.0	1.0
0.0,0.0	0.0,0.091	-0.045
0.333,0.0	0.0,0.333	0.0
0.0,0.062	0.034,0.083	-0.028
0.333,NA	NA,0.0	0.333
NA,0.333	1.0,NA	-0.667
0.0,NA	0.333,NA	-0.333
NA,0.5	1.0,NA	-0.5
0.0,NA	0.333,NA	-0.333
NA,0.143	0.0,0.0	0.143
0.25,0.0	0.333,1.0	-0.541
0.111,0.333	0.0,NA	0.222
0.111,0.0	0.0,0.143	-0.016
NA,0.333	0.0,0.0	0.333
0.333,NA	1.0,1.0	-0.667
NA,1.0	1.0,0.333	0.334
0.0,NA	1.0,0.0	-0.5
NA,1.0	0.0,NA	1.0
0.0,0.0	0.0,1.0	-0.5
0.125,0.143	0.273,0.273	-0.139
0.111,0.0	0.0,0.0	0.056
0.0,1.0	0.0,1.0	0.0
NA,0.333	0.0,NA	0.333
0.333,0.0	0.0,0.0	0.167
0.0,0.143	0.0,1.0	-0.428
0.0,0.333	1.0,NA	-0.834
1.0,0.0	0.0,NA	0.5
0.333,NA	1.0,NA	-0.667
0.0,NA	0.0,1.0	-0.5
0.077,0.0	NA,0.0	0.038
0.0,0.0	0.333,NA	-0.333
0.0,NA	0.333,NA	-0.333
NA,0.0	NA,1.0	-1.0
0.0,0.0	0.333,0.0	-0.167
1.0,NA	NA,0.333	0.667
NA,0.2	0.0,0.6	-0.1
NA,0.0	0.333,NA	-0.333
NA,0.2	0.2,0.0	0.1
0.2,0.0	0.0,NA	0.1
1.0,0.0	0.0,0.5	0.25
NA,0.0	NA,1.0	-1.0
NA,0.0	NA,1.0	-1.0
NA,0.333	NA,0.0	0.333
1.0,NA	0.0,1.0	0.5
0.0,0.0	0.0,0.333	-0.167
NA,0.333	NA,1.0	-0.667
NA,0.0	NA,1.0	-1.0
0.333,0.2	0.091,0.0	0.221
0.0,0.067	0.25,0.0	-0.091
0.0,0.111	NA,0.333	-0.278
0.143,0.231	0.0,NA	0.187
0.5,0.333	0.0,0.0	0.416
1.0,NA	0.0,0.0	1.0
0.0,NA	1.0,0.5	-0.75
1.0,NA	NA,0.0	1.0
NA,0.0	NA,1.0	-1.0
1.0,1.0	0.333,NA	0.667
0.231,0.5	0.111,0.0	0.31
0.5,0.0	0.0,NA	0.25
NA,0.0	1.0,NA	-1.0
0.0,NA	1.0,NA	-1.0
0.0,0.2	0.167,0.2	-0.083
NA,0.0	0.333,0.0	-0.167
0.0,0.0	1.0,NA	-1.0
NA,1.0	0.0,NA	1.0
0.0,0.0	0.0,1.0	-0.5
0.333,0.0	NA,0.0	0.167
0.0,0.0	0.0,1.0	-0.5
0.111,0.111	0.0,0.333	-0.056
0.143,0.0	NA,0.0	0.071
NA,1.0	0.0,0.0	1.0
NA,0.2	0.0,0.0	0.2
0.0,0.2	0.0,0.0	0.1
