IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1,0	1,0	1,0	0,0	98	49
2,1	1,2	0,1	1,1	98	49
0,1	1,1	0,0	0,1	98	49
1,0	4,4	1,1	4,1	98	49
0,0	1,1	0,2	0,3	98	49
0,0	0,1	1,0	1,0	98	49
2,0	0,0	0,0	0,1	98	49
1,0	2,3	1,0	0,0	98	49
2,0	2,0	1,0	0,0	98	49
1,1	1,1	0,1	0,0	98	49
1,0	3,1	0,1	0,1	98	49
0,1	7,3	0,0	1,2	98	49
1,0	2,4	0,0	1,1	98	49
0,1	4,2	0,0	4,1	98	49
0,0	0,1	0,1	0,0	98	49
0,0	1,0	1,0	1,0	98	49
0,0	3,0	1,0	1,0	98	49
0,1	0,0	0,0	0,1	98	49
1,0	5,4	0,1	2,1	98	49
1,0	0,2	0,3	1,1	98	49
0,1	1,0	0,1	1,0	98	49
0,1	3,3	0,0	3,1	98	49
1,1	0,0	0,0	1,1	98	49
0,1	0,0	0,0	0,1	98	49
0,1	0,1	1,0	0,1	98	49
1,0	3,0	1,0	3,0	98	49
0,3	0,0	0,0	1,1	98	49
0,1	2,3	0,1	1,2	98	49
1,1	3,0	0,1	0,1	98	49
1,0	0,0	0,0	0,1	98	49
0,0	6,5	0,1	2,5	98	49
2,0	2,6	0,1	1,1	98	49
0,2	14,15	1,2	14,11	98	49
1,0	1,0	0,0	0,1	98	49
0,1	0,1	1,0	0,0	98	49
0,0	1,0	1,0	1,0	98	49
0,2	0,1	1,0	0,0	98	49
0,0	1,0	1,0	1,0	98	49
0,1	0,3	0,0	1,2	98	49
2,0	3,2	1,2	1,0	98	49
1,1	4,1	0,0	1,0	98	49
1,0	4,2	0,1	1,3	98	49
0,1	0,1	0,0	4,1	98	49
1,0	1,0	1,1	0,0	98	49
0,1	0,0	1,1	0,1	98	49
0,0	3,0	2,0	0,2	98	49
0,1	0,0	0,0	1,0	98	49
0,0	1,1	0,1	2,0	98	49
2,2	7,6	3,3	4,4	98	49
1,0	4,3	0,0	5,6	98	49
0,1	1,0	0,1	1,0	98	49
0,1	0,1	0,0	1,0	98	49
1,0	1,4	0,0	5,4	98	49
0,1	3,3	0,1	3,0	98	49
0,1	1,1	1,0	0,0	98	49
1,0	0,1	0,0	1,0	98	49
1,0	1,0	1,0	0,0	98	49
0,0	1,0	0,1	1,0	98	49
1,0	6,3	0,0	0,2	98	49
0,0	1,1	1,0	1,0	98	49
0,0	1,0	1,0	1,0	98	49
0,0	0,1	0,1	0,0	98	49
0,0	5,2	1,0	1,2	98	49
1,0	0,0	0,1	0,1	98	49
0,1	0,2	0,3	2,1	98	49
0,0	0,1	1,0	1,0	98	49
0,1	0,2	1,0	2,2	98	49
1,0	2,1	0,0	1,0	98	49
1,0	0,1	0,2	3,1	98	49
0,0	0,1	0,1	0,0	98	49
0,0	0,2	0,1	0,0	98	49
0,1	0,1	0,0	0,4	98	49
1,0	0,0	0,1	1,0	98	49
0,0	3,2	0,1	1,1	98	49
0,1	0,1	0,1	0,0	98	49
0,0	0,1	0,1	0,0	98	49
2,3	2,6	1,0	5,3	98	49
0,1	3,7	2,0	3,5	98	49
0,1	3,4	0,1	0,1	98	49
1,3	3,5	0,0	5,0	98	49
4,3	2,3	0,0	2,2	98	49
1,0	0,0	0,0	1,1	98	49
0,0	1,0	1,2	0,1	98	49
1,0	0,0	0,0	0,2	98	49
0,0	0,1	0,1	0,0	98	49
4,2	0,0	1,0	1,0	98	49
3,2	5,1	1,0	4,4	98	49
2,0	1,1	0,0	1,0	98	49
0,0	0,1	1,0	0,0	98	49
0,0	1,0	1,0	0,0	98	49
0,2	4,4	2,1	5,2	98	49
0,0	0,1	1,0	1,1	98	49
0,0	1,1	1,0	0,0	98	49
0,1	0,0	0,0	1,0	98	49
0,0	1,1	0,1	2,0	98	49
1,0	1,1	0,0	0,1	98	49
0,0	3,4	0,1	1,0	98	49
1,1	4,4	0,1	1,1	98	49
1,0	3,2	0,0	0,1	98	49
0,1	0,0	0,0	1,3	98	49
0,1	0,2	0,0	4,1	98	49
0,1	1,2	0,0	3,2	98	49
