ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1337	1,0	0,2	0,3	0,1	94	49	1	1.0	1.0,0.0	NA,0.61	-0.11
2076	0,1	0,0	0,0	1,0	52	49	1	1.0	NA,1.0	0.0,NA	1.0
3163	0,2	2,0	0,1	0,0	98	49	1	1.0	0.0,1.0	NA,1.0	-0.5
4937	1,1	1,0	0,1	0,0	98	49	1	1.0	0.333,1.0	NA,1.0	-0.334
7137	0,1	1,0	0,1	1,0	98	49	1	1.0	0.0,1.0	0.0,1.0	0.0
7324	1,0	0,0	0,1	1,0	98	49	1	1.0	1.0,NA	0.0,1.0	0.5
7595	0,0	1,0	0,2	0,0	98	49	1	1.0	0.0,NA	NA,1.0	-1.0
8081	0,2	0,0	0,0	1,0	98	49	1	1.0	NA,1.0	0.0,NA	1.0
8411	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
9430	0,0	0,1	1,0	0,0	96	49	1	1.0	NA,0.0	1.0,NA	-1.0
9864	0,0	1,0	0,2	0,0	98	49	1	1.0	0.0,NA	NA,1.0	-1.0
11349	15,13	0,0	0,0	0,13	85	49	1	1.0	1.0,1.0	NA,0.0	1.0
12248	1,0	0,0	0,0	0,1	98	49	1	1.0	1.0,NA	NA,0.0	1.0
12333	1,0	0,0	0,0	1,0	98	49	1	1.0	1.0,NA	0.0,NA	1.0
12334	1,0	0,0	0,0	1,0	98	49	1	1.0	1.0,NA	0.0,NA	1.0
12593	0,1	0,0	1,1	1,0	98	49	1	1.0	NA,1.0	0.333,1.0	0.334
13600	0,0	0,1	0,1	1,1	98	49	1	1.0	NA,0.0	0.0,0.333	-0.167
14879	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
16384	0,1	0,1	0,0	1,0	98	49	1	1.0	NA,0.333	0.0,NA	0.333
16641	2,0	0,0	1,0	1,0	98	49	1	1.0	1.0,NA	0.333,NA	0.667
17364	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
18471	6,4	0,0	2,3	0,1	98	49	1	1.0	1.0,1.0	1.0,0.6	0.2
20001	1,0	0,1	0,0	0,1	98	49	1	1.0	1.0,0.0	NA,0.0	0.5
21128	0,0	0,1	1,0	0,0	98	49	1	1.0	NA,0.0	1.0,NA	-1.0
21510	1,0	0,0	0,0	1,0	98	49	1	1.0	1.0,NA	0.0,NA	1.0
21511	1,0	0,0	0,0	1,0	97	49	1	1.0	1.0,NA	0.0,NA	1.0
21875	1,1	0,0	0,0	0,1	98	49	1	1.0	1.0,1.0	NA,0.0	1.0
22431	0,1	0,1	1,2	0,0	98	49	1	1.0	NA,0.333	1.0,1.0	-0.667
23391	1,0	0,0	0,0	0,1	98	49	1	1.0	1.0,NA	NA,0.0	1.0
24073	0,1	0,1	0,0	1,0	98	49	1	1.0	NA,0.333	0.0,NA	0.333
25393	0,0	1,0	0,1	0,0	98	49	1	1.0	0.0,NA	NA,1.0	-1.0
25467	0,1	0,0	0,1	0,1	98	49	1	1.0	NA,1.0	NA,0.333	0.667
26078	0,0	1,0	1,0	1,0	98	49	1	1.0	0.0,NA	0.333,NA	-0.333
