ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1337	1,0	0,2	0,3	0,1	94	49	1	1.0
2076	0,1	0,0	0,0	1,0	52	49	1	1.0
3163	0,2	2,0	0,1	0,0	98	49	1	1.0
4937	1,1	1,0	0,1	0,0	98	49	1	1.0
7137	0,1	1,0	0,1	1,0	98	49	1	1.0
7324	1,0	0,0	0,1	1,0	98	49	1	1.0
7595	0,0	1,0	0,2	0,0	98	49	1	1.0
8081	0,2	0,0	0,0	1,0	98	49	1	1.0
8411	0,0	0,1	0,1	0,0	98	49	1	1.0
9430	0,0	0,1	1,0	0,0	96	49	1	1.0
9864	0,0	1,0	0,2	0,0	98	49	1	1.0
11349	15,13	0,0	0,0	0,13	85	49	1	1.0
12248	1,0	0,0	0,0	0,1	98	49	1	1.0
12333	1,0	0,0	0,0	1,0	98	49	1	1.0
12334	1,0	0,0	0,0	1,0	98	49	1	1.0
12593	0,1	0,0	1,1	1,0	98	49	1	1.0
13600	0,0	0,1	0,1	1,1	98	49	1	1.0
14879	0,0	0,1	0,1	0,0	98	49	1	1.0
16384	0,1	0,1	0,0	1,0	98	49	1	1.0
16641	2,0	0,0	1,0	1,0	98	49	1	1.0
17364	0,0	0,1	0,1	0,0	98	49	1	1.0
18471	6,4	0,0	2,3	0,1	98	49	1	1.0
20001	1,0	0,1	0,0	0,1	98	49	1	1.0
21128	0,0	0,1	1,0	0,0	98	49	1	1.0
21510	1,0	0,0	0,0	1,0	98	49	1	1.0
21511	1,0	0,0	0,0	1,0	97	49	1	1.0
21875	1,1	0,0	0,0	0,1	98	49	1	1.0
22431	0,1	0,1	1,2	0,0	98	49	1	1.0
23391	1,0	0,0	0,0	0,1	98	49	1	1.0
24073	0,1	0,1	0,0	1,0	98	49	1	1.0
25393	0,0	1,0	0,1	0,0	98	49	1	1.0
25467	0,1	0,0	0,1	0,1	98	49	1	1.0
26078	0,0	1,0	1,0	1,0	98	49	1	1.0
26079	4,2	0,1	4,1	0,0	98	49	1	1.0
26596	0,1	1,0	5,3	0,0	98	49	0.101456445134	1.0
26597	0,0	0,1	1,0	2,1	98	49	1	1.0
26644	0,1	1,0	0,0	1,0	98	49	1	1.0
28583	1,0	0,0	0,1	1,0	98	49	1	1.0
28817	1,3	1,1	1,2	0,0	98	49	0.402901799239	1.0
30248	3,1	0,0	1,0	0,1	98	49	0.101456445134	1.0
31132	0,2	1,0	1,1	0,0	98	49	0.101346779278	1.0
31133	0,6	1,0	3,3	0,0	98	49	1	1.0
31751	1,0	2,2	0,1	1,0	98	49	1	1.0
31999	0,0	0,1	1,0	0,1	98	49	1	1.0
32195	0,0	0,1	0,1	0,0	98	49	1	1.0
32196	0,0	0,1	0,1	0,0	98	49	1	1.0
32451	0,2	0,0	0,0	1,0	98	49	1	1.0
32953	1,0	0,0	0,0	1,0	64	49	1	1.0
33419	0,0	1,0	1,0	0,0	98	49	1	1.0
33948	0,1	4,0	0,0	1,1	98	49	1	1.0
33952	0,1	4,0	0,0	1,1	74	49	1	1.0
33953	0,1	4,0	0,0	1,1	71	49	1	1.0
34627	7,9	1,0	1,0	0,0	98	49	1	1.0
36125	0,1	2,0	0,0	0,2	98	49	1	1.0
36479	0,1	0,0	0,0	1,0	98	49	1	1.0
36480	0,1	0,0	0,0	1,0	98	49	1	1.0
37357	1,0	0,0	0,0	1,0	98	49	1	1.0
37730	1,0	1,1	0,0	0,1	94	49	1	1.0
38241	0,0	1,0	0,1	0,1	55	49	1	1.0
38413	3,3	0,2	3,0	0,0	98	49	1	1.0
38414	7,6	0,2	6,5	0,0	98	49	0.556642179289	1.0
38415	3,3	0,2	3,0	0,0	98	49	1	1.0
40660	0,2	2,3	1,1	1,6	98	49	0.74703870315	1.0
