IncLevel1	IncLevel2	IncLevelDifference
1.0,0.0	NA,0.61	-0.11
NA,1.0	0.0,NA	1.0
0.0,1.0	NA,1.0	-0.5
0.333,1.0	NA,1.0	-0.334
0.0,1.0	0.0,1.0	0.0
1.0,NA	0.0,1.0	0.5
0.0,NA	NA,1.0	-1.0
NA,1.0	0.0,NA	1.0
NA,0.0	NA,1.0	-1.0
NA,0.0	1.0,NA	-1.0
0.0,NA	NA,1.0	-1.0
1.0,1.0	NA,0.0	1.0
1.0,NA	NA,0.0	1.0
1.0,NA	0.0,NA	1.0
1.0,NA	0.0,NA	1.0
NA,1.0	0.333,1.0	0.334
NA,0.0	0.0,0.333	-0.167
NA,0.0	NA,1.0	-1.0
NA,0.333	0.0,NA	0.333
1.0,NA	0.333,NA	0.667
NA,0.0	NA,1.0	-1.0
1.0,1.0	1.0,0.6	0.2
1.0,0.0	NA,0.0	0.5
NA,0.0	1.0,NA	-1.0
1.0,NA	0.0,NA	1.0
1.0,NA	0.0,NA	1.0
1.0,1.0	NA,0.0	1.0
NA,0.333	1.0,1.0	-0.667
1.0,NA	NA,0.0	1.0
NA,0.333	0.0,NA	0.333
0.0,NA	NA,1.0	-1.0
NA,1.0	NA,0.333	0.667
0.0,NA	0.333,NA	-0.333
1.0,0.5	1.0,1.0	-0.25
0.0,1.0	1.0,1.0	-0.5
NA,0.0	0.2,0.0	-0.1
0.0,1.0	0.0,NA	0.5
1.0,NA	0.0,1.0	0.5
0.333,0.6	1.0,1.0	-0.533
1.0,1.0	1.0,0.0	0.5
0.0,1.0	1.0,1.0	-0.5
0.0,1.0	1.0,1.0	-0.5
0.2,0.0	0.0,1.0	-0.4
NA,0.0	1.0,0.0	-0.5
NA,0.0	NA,1.0	-1.0
NA,0.0	NA,1.0	-1.0
NA,1.0	0.0,NA	1.0
1.0,NA	0.0,NA	1.0
0.0,NA	1.0,NA	-1.0
0.0,1.0	0.0,0.0	0.5
0.0,1.0	0.0,0.0	0.5
0.0,1.0	0.0,0.0	0.5
0.778,1.0	1.0,NA	-0.111
0.0,1.0	NA,0.0	0.5
NA,1.0	0.0,NA	1.0
NA,1.0	0.0,NA	1.0
1.0,NA	0.0,NA	1.0
0.343,0.0	NA,0.0	0.172
0.0,NA	NA,0.471	-0.471
1.0,0.429	1.0,NA	-0.285
1.0,0.6	1.0,1.0	-0.2
1.0,0.429	1.0,NA	-0.285
0.0,0.25	0.333,0.077	-0.08
