IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1,0	0,2	0,3	0,1	94	49
0,1	0,0	0,0	1,0	52	49
0,2	2,0	0,1	0,0	98	49
1,1	1,0	0,1	0,0	98	49
0,1	1,0	0,1	1,0	98	49
1,0	0,0	0,1	1,0	98	49
0,0	1,0	0,2	0,0	98	49
0,2	0,0	0,0	1,0	98	49
0,0	0,1	0,1	0,0	98	49
0,0	0,1	1,0	0,0	96	49
0,0	1,0	0,2	0,0	98	49
15,13	0,0	0,0	0,13	85	49
1,0	0,0	0,0	0,1	98	49
1,0	0,0	0,0	1,0	98	49
1,0	0,0	0,0	1,0	98	49
0,1	0,0	1,1	1,0	98	49
0,0	0,1	0,1	1,1	98	49
0,0	0,1	0,1	0,0	98	49
0,1	0,1	0,0	1,0	98	49
2,0	0,0	1,0	1,0	98	49
0,0	0,1	0,1	0,0	98	49
6,4	0,0	2,3	0,1	98	49
1,0	0,1	0,0	0,1	98	49
0,0	0,1	1,0	0,0	98	49
1,0	0,0	0,0	1,0	98	49
1,0	0,0	0,0	1,0	97	49
1,1	0,0	0,0	0,1	98	49
0,1	0,1	1,2	0,0	98	49
1,0	0,0	0,0	0,1	98	49
0,1	0,1	0,0	1,0	98	49
0,0	1,0	0,1	0,0	98	49
0,1	0,0	0,1	0,1	98	49
0,0	1,0	1,0	1,0	98	49
4,2	0,1	4,1	0,0	98	49
0,1	1,0	5,3	0,0	98	49
0,0	0,1	1,0	2,1	98	49
0,1	1,0	0,0	1,0	98	49
1,0	0,0	0,1	1,0	98	49
1,3	1,1	1,2	0,0	98	49
3,1	0,0	1,0	0,1	98	49
0,2	1,0	1,1	0,0	98	49
0,6	1,0	3,3	0,0	98	49
1,0	2,2	0,1	1,0	98	49
0,0	0,1	1,0	0,1	98	49
0,0	0,1	0,1	0,0	98	49
0,0	0,1	0,1	0,0	98	49
0,2	0,0	0,0	1,0	98	49
1,0	0,0	0,0	1,0	64	49
0,0	1,0	1,0	0,0	98	49
0,1	4,0	0,0	1,1	98	49
0,1	4,0	0,0	1,1	74	49
0,1	4,0	0,0	1,1	71	49
7,9	1,0	1,0	0,0	98	49
0,1	2,0	0,0	0,2	98	49
0,1	0,0	0,0	1,0	98	49
0,1	0,0	0,0	1,0	98	49
1,0	0,0	0,0	1,0	98	49
1,0	1,1	0,0	0,1	94	49
0,0	1,0	0,1	0,1	55	49
3,3	0,2	3,0	0,0	98	49
7,6	0,2	6,5	0,0	98	49
3,3	0,2	3,0	0,0	98	49
0,2	2,3	1,1	1,6	98	49
