ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
1337	1,0	0,2	0,3	0,1	94	49	1
2076	0,1	0,0	0,0	1,0	52	49	1
3163	0,2	2,0	0,1	0,0	98	49	1
4937	1,1	1,0	0,1	0,0	98	49	1
7137	0,1	1,0	0,1	1,0	98	49	1
7324	1,0	0,0	0,1	1,0	98	49	1
7595	0,0	1,0	0,2	0,0	98	49	1
8081	0,2	0,0	0,0	1,0	98	49	1
8411	0,0	0,1	0,1	0,0	98	49	1
9430	0,0	0,1	1,0	0,0	96	49	1
9864	0,0	1,0	0,2	0,0	98	49	1
11349	15,13	0,0	0,0	0,13	85	49	1
12248	1,0	0,0	0,0	0,1	98	49	1
12333	1,0	0,0	0,0	1,0	98	49	1
12334	1,0	0,0	0,0	1,0	98	49	1
12593	0,1	0,0	1,1	1,0	98	49	1
13600	0,0	0,1	0,1	1,1	98	49	1
14879	0,0	0,1	0,1	0,0	98	49	1
16384	0,1	0,1	0,0	1,0	98	49	1
16641	2,0	0,0	1,0	1,0	98	49	1
17364	0,0	0,1	0,1	0,0	98	49	1
18471	6,4	0,0	2,3	0,1	98	49	1
20001	1,0	0,1	0,0	0,1	98	49	1
21128	0,0	0,1	1,0	0,0	98	49	1
21510	1,0	0,0	0,0	1,0	98	49	1
21511	1,0	0,0	0,0	1,0	97	49	1
21875	1,1	0,0	0,0	0,1	98	49	1
22431	0,1	0,1	1,2	0,0	98	49	1
23391	1,0	0,0	0,0	0,1	98	49	1
24073	0,1	0,1	0,0	1,0	98	49	1
25393	0,0	1,0	0,1	0,0	98	49	1
25467	0,1	0,0	0,1	0,1	98	49	1
26078	0,0	1,0	1,0	1,0	98	49	1
26079	4,2	0,1	4,1	0,0	98	49	1
26596	0,1	1,0	5,3	0,0	98	49	0.101456445134
26597	0,0	0,1	1,0	2,1	98	49	1
26644	0,1	1,0	0,0	1,0	98	49	1
28583	1,0	0,0	0,1	1,0	98	49	1
28817	1,3	1,1	1,2	0,0	98	49	0.402901799239
30248	3,1	0,0	1,0	0,1	98	49	0.101456445134
31132	0,2	1,0	1,1	0,0	98	49	0.101346779278
31133	0,6	1,0	3,3	0,0	98	49	1
31751	1,0	2,2	0,1	1,0	98	49	1
31999	0,0	0,1	1,0	0,1	98	49	1
32195	0,0	0,1	0,1	0,0	98	49	1
32196	0,0	0,1	0,1	0,0	98	49	1
32451	0,2	0,0	0,0	1,0	98	49	1
32953	1,0	0,0	0,0	1,0	64	49	1
33419	0,0	1,0	1,0	0,0	98	49	1
33948	0,1	4,0	0,0	1,1	98	49	1
33952	0,1	4,0	0,0	1,1	74	49	1
33953	0,1	4,0	0,0	1,1	71	49	1
34627	7,9	1,0	1,0	0,0	98	49	1
36125	0,1	2,0	0,0	0,2	98	49	1
36479	0,1	0,0	0,0	1,0	98	49	1
36480	0,1	0,0	0,0	1,0	98	49	1
37357	1,0	0,0	0,0	1,0	98	49	1
37730	1,0	1,1	0,0	0,1	94	49	1
38241	0,0	1,0	0,1	0,1	55	49	1
38413	3,3	0,2	3,0	0,0	98	49	1
38414	7,6	0,2	6,5	0,0	98	49	0.556642179289
38415	3,3	0,2	3,0	0,0	98	49	1
40660	0,2	2,3	1,1	1,6	98	49	0.74703870315
