ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1337	"ENSG00000087460.24"	"GNAS"	chr20	+	58898940	58898985	58895162	58895684	58903530	58903556	1337	1,0	0,2	0,3	0,1	94	49	1	1.0	1.0,0.0	NA,0.61	-0.11
2076	"ENSG00000105443.14"	"CYTH2"	chr19	+	48477716	48477719	48474837	48474949	48478068	48478145	2076	0,1	0,0	0,0	1,0	52	49	1	1.0	NA,1.0	0.0,NA	1.0
3163	"ENSG00000071626.16"	"DAZAP1"	chr19	+	1425877	1425960	1422347	1422396	1428841	1428995	3163	0,2	2,0	0,1	0,0	98	49	1	1.0	0.0,1.0	NA,1.0	-0.5
4937	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16441073	16441130	16439326	16440253	16441367	16441615	4937	1,1	1,0	0,1	0,0	98	49	1	1.0	0.333,1.0	NA,1.0	-0.334
7137	"ENSG00000023191.16"	"RNH1"	chr11	-	504823	504996	502061	502249	507112	507195	7137	0,1	1,0	0,1	1,0	98	49	1	1.0	0.0,1.0	0.0,1.0	0.0
7324	"ENSG00000112651.11"	"MRPL2"	chr6	-	43055544	43055618	43054028	43054486	43055896	43056007	7324	1,0	0,0	0,1	1,0	98	49	1	1.0	1.0,NA	0.0,1.0	0.5
7595	"ENSG00000174775.16"	"HRAS"	chr11	-	534211	534375	533765	533944	535415	535534	7595	0,0	1,0	0,2	0,0	98	49	1	1.0	0.0,NA	NA,1.0	-1.0
8081	"ENSG00000197451.11"	"HNRNPAB"	chr5	+	178210131	178210272	178209329	178209447	178210552	178211142	8081	0,2	0,0	0,0	1,0	98	49	1	1.0	NA,1.0	0.0,NA	1.0
8411	"ENSG00000181924.6"	"CHCHD8"	chr11	-	73876478	73876575	73872996	73873394	73876756	73876843	8411	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
9430	"ENSG00000183696.13"	"UPP1"	chr7	+	48101823	48101870	48099669	48099787	48106872	48107082	9430	0,0	0,1	1,0	0,0	96	49	1	1.0	NA,0.0	1.0,NA	-1.0
9864	"ENSG00000276170.4"	"AC124789.1"	chr17	-	38451305	38451393	38450393	38450723	38451625	38451756	9864	0,0	1,0	0,2	0,0	98	49	1	1.0	0.0,NA	NA,1.0	-1.0
11349	"ENSG00000122566.20"	"HNRNPA2B1"	chr7	-	26197830	26197866	26197621	26197732	26200571	26200746	11349	15,13	0,0	0,0	0,13	85	49	1	1.0	1.0,1.0	NA,0.0	1.0
12248	"ENSG00000110514.19"	"MADD"	chr11	+	47326737	47326807	47324470	47324577	47328657	47328704	12248	1,0	0,0	0,0	0,1	98	49	1	1.0	1.0,NA	NA,0.0	1.0
12333	"ENSG00000244687.11"	"UBE2V1"	chr20	-	50098881	50098964	50096671	50096820	50113106	50113167	12333	1,0	0,0	0,0	1,0	98	49	1	1.0	1.0,NA	0.0,NA	1.0
12334	"ENSG00000244687.11"	"UBE2V1"	chr20	-	50098881	50098981	50096671	50096820	50113106	50113198	12334	1,0	0,0	0,0	1,0	98	49	1	1.0	1.0,NA	0.0,NA	1.0
12593	"ENSG00000119185.12"	"ITGB1BP1"	chr2	-	9407448	9407598	9403474	9406905	9408112	9408205	12593	0,1	0,0	1,1	1,0	98	49	1	1.0	NA,1.0	0.333,1.0	0.334
13600	"ENSG00000044115.20"	"CTNNA1"	chr5	+	138932887	138932958	138932577	138932712	138933801	138934831	13600	0,0	0,1	0,1	1,1	98	49	1	1.0	NA,0.0	0.0,0.333	-0.167
14879	"ENSG00000141552.17"	"ANAPC11"	chr17	+	81893103	81893187	81891749	81891841	81893551	81893614	14879	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
16384	"ENSG00000112081.16"	"SRSF3"	chr6	+	36599820	36600276	36598848	36598983	36601151	36601190	16384	0,1	0,1	0,0	1,0	98	49	1	1.0	NA,0.333	0.0,NA	0.333
16641	"ENSG00000142910.15"	"TINAGL1"	chr1	+	31585752	31585876	31585439	31585485	31586709	31586755	16641	2,0	0,0	1,0	1,0	98	49	1	1.0	1.0,NA	0.333,NA	0.667
17364	"ENSG00000164292.12"	"RHOBTB3"	chr5	+	95755395	95755761	95752238	95752350	95763507	95763542	17364	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
18471	"ENSG00000213741.10"	"RPS29"	chr14	-	49585949	49586049	49583571	49583675	49598399	49598690	18471	6,4	0,0	2,3	0,1	98	49	1	1.0	1.0,1.0	1.0,0.6	0.2
20001	"ENSG00000117525.13"	"F3"	chr1	-	94540571	94541066	94540256	94540368	94541536	94541759	20001	1,0	0,1	0,0	0,1	98	49	1	1.0	1.0,0.0	NA,0.0	0.5
21128	"ENSG00000144136.10"	"SLC20A1"	chr2	+	112657121	112657241	112652701	112652798	112658973	112659094	21128	0,0	0,1	1,0	0,0	98	49	1	1.0	NA,0.0	1.0,NA	-1.0
21510	"ENSG00000117143.13"	"UAP1"	chr1	+	162592731	162592782	162590322	162590511	162597791	162597858	21510	1,0	0,0	0,0	1,0	98	49	1	1.0	1.0,NA	0.0,NA	1.0
21511	"ENSG00000117143.13"	"UAP1"	chr1	+	162592734	162592782	162590322	162590511	162597791	162597858	21511	1,0	0,0	0,0	1,0	97	49	1	1.0	1.0,NA	0.0,NA	1.0
21875	"ENSG00000117448.13"	"AKR1A1"	chr1	+	45568484	45568684	45567981	45568177	45568926	45568999	21875	1,1	0,0	0,0	0,1	98	49	1	1.0	1.0,1.0	NA,0.0	1.0
22431	"ENSG00000187109.13"	"NAP1L1"	chr12	-	76067370	76067473	76060137	76060279	76074202	76074239	22431	0,1	0,1	1,2	0,0	98	49	1	1.0	NA,0.333	1.0,1.0	-0.667
23391	"ENSG00000143537.13"	"ADAM15"	chr1	+	155053909	155053988	155053416	155053493	155054149	155054226	23391	1,0	0,0	0,0	0,1	98	49	1	1.0	1.0,NA	NA,0.0	1.0
24073	"ENSG00000113558.18"	"SKP1"	chr5	-	134174461	134174514	134173925	134174022	134176854	134176950	24073	0,1	0,1	0,0	1,0	98	49	1	1.0	NA,0.333	0.0,NA	0.333
25393	"ENSG00000183624.13"	"HMCES"	chr3	+	129290678	129290804	129288853	129288997	129298353	129298535	25393	0,0	1,0	0,1	0,0	98	49	1	1.0	0.0,NA	NA,1.0	-1.0
25467	"ENSG00000135318.11"	"NT5E"	chr6	+	85490507	85490657	85489493	85489599	85491976	85492177	25467	0,1	0,0	0,1	0,1	98	49	1	1.0	NA,1.0	NA,0.333	0.667
26078	"ENSG00000137309.19"	"HMGA1"	chr6	+	34237203	34237317	34236872	34236963	34240736	34240882	26078	0,0	1,0	1,0	1,0	98	49	1	1.0	0.0,NA	0.333,NA	-0.333
26079	"ENSG00000137309.19"	"HMGA1"	chr6	+	34242711	34242795	34240736	34240915	34243467	34243518	26079	4,2	0,1	4,1	0,0	98	49	1	1.0	1.0,0.5	1.0,1.0	-0.25
26596	"ENSG00000135486.17"	"HNRNPA1"	chr12	+	54282799	54282874	54282572	54282665	54283811	54283878	26596	0,1	1,0	5,3	0,0	98	49	0.101456445134	1.0	0.0,1.0	1.0,1.0	-0.5
26597	"ENSG00000135486.17"	"HNRNPA1"	chr12	+	54283078	54283234	54282799	54282874	54283811	54283967	26597	0,0	0,1	1,0	2,1	98	49	1	1.0	NA,0.0	0.2,0.0	-0.1
26644	"ENSG00000143753.12"	"DEGS1"	chr1	+	224191091	224191156	224190135	224190319	224192331	224192440	26644	0,1	1,0	0,0	1,0	98	49	1	1.0	0.0,1.0	0.0,NA	0.5
28583	"ENSG00000049541.10"	"RFC2"	chr7	-	74249011	74249118	74246661	74246763	74249738	74249780	28583	1,0	0,0	0,1	1,0	98	49	1	1.0	1.0,NA	0.0,1.0	0.5
28817	"ENSG00000241468.7"	"ATP5J2"	chr7	-	99459146	99459263	99458189	99458355	99460085	99460193	28817	1,3	1,1	1,2	0,0	98	49	0.402901799239	1.0	0.333,0.6	1.0,1.0	-0.533
30248	"ENSG00000242372.7"	"EIF6"	chr20	-	35279565	35279747	35278910	35279206	35279941	35280118	30248	3,1	0,0	1,0	0,1	98	49	0.101456445134	1.0	1.0,1.0	1.0,0.0	0.5
31132	"ENSG00000100097.11"	"LGALS1"	chr22	+	37678375	37678654	37676998	37677065	37679602	37679802	31132	0,2	1,0	1,1	0,0	98	49	0.101346779278	1.0	0.0,1.0	1.0,1.0	-0.5
31133	"ENSG00000100097.11"	"LGALS1"	chr22	+	37678482	37678654	37676855	37677065	37679602	37679640	31133	0,6	1,0	3,3	0,0	98	49	1	1.0	0.0,1.0	1.0,1.0	-0.5
31751	"ENSG00000138668.18"	"HNRNPD"	chr4	-	82356536	82356683	82355248	82355401	82356795	82356895	31751	1,0	2,2	0,1	1,0	98	49	1	1.0	0.2,0.0	0.0,1.0	-0.4
31999	"ENSG00000161547.16"	"SRSF2"	chr17	-	76735771	76735875	76734146	76735158	76736153	76736464	31999	0,0	0,1	1,0	0,1	98	49	1	1.0	NA,0.0	1.0,0.0	-0.5
32195	"ENSG00000090316.15"	"MAEA"	chr4	+	1338421	1338617	1336860	1336994	1339073	1339177	32195	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
32196	"ENSG00000090316.15"	"MAEA"	chr4	+	1338425	1338617	1336860	1336994	1339073	1340108	32196	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
32451	"ENSG00000196305.17"	"IARS"	chr9	-	92240642	92240691	92229000	92229126	92240855	92240961	32451	0,2	0,0	0,0	1,0	98	49	1	1.0	NA,1.0	0.0,NA	1.0
