ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
197	0,0	1,1	0,1	0,0	98	49	1
293	3,2	1,1	0,1	0,0	59	49	1
297	0,0	7,3	0,1	3,1	73	49	1
309	0,1	0,0	0,0	3,0	90	49	1
439	0,0	0,1	0,1	0,0	98	49	1
921	0,0	1,2	1,0	1,0	61	49	1
1013	1,0	0,1	0,0	1,0	98	49	1
1122	0,1	21,18	0,0	14,14	53	49	1
1186	2,0	0,0	1,2	1,0	98	49	1
1384	1,0	1,2	0,0	0,2	66	49	1
1485	1,0	4,2	0,0	1,3	98	49	1
1497	0,1	1,0	0,0	0,1	98	49	1
1595	0,1	0,0	0,1	0,1	90	49	1
1671	0,0	3,0	2,0	0,2	53	49	1
1753	1,0	1,0	0,0	0,2	98	49	1
1768	0,1	1,0	0,1	1,0	98	49	1
1772	0,0	2,0	0,1	1,0	70	49	1
2003	1,0	1,0	1,0	0,0	88	49	1
2062	1,0	0,2	0,0	1,0	98	49	1
2082	0,1	0,0	0,0	0,1	87	49	1
2278	2,0	0,0	0,0	1,0	98	49	1
2483	0,1	5,2	0,1	1,1	98	49	1
2531	0,0	2,2	3,0	5,2	66	49	0.109375936822
3183	0,1	0,0	0,0	0,1	64	49	1
3184	0,0	1,0	0,1	0,0	98	49	1
4054	0,1	4,4	0,0	1,1	98	49	1
4206	1,0	2,1	1,0	1,0	98	49	1
4636	0,0	1,0	1,0	0,1	62	49	1
4657	0,2	4,4	2,1	5,2	76	49	0.266442531628
4774	1,0	0,0	0,0	0,1	56	49	1
4821	0,1	0,2	1,0	1,0	88	49	1
4957	0,1	0,0	1,0	1,0	98	49	1
5292	0,1	5,3	0,0	3,0	59	49	1
