ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
569	"ENSG00000131828.13"	"PDHA1"	chrX	+	19346509	19346623	19343892	19344094	19349311	19349371	569	0,0	0,1	0,1	0,0	163	49	1	1.0	NA,0.0	NA,1.0	-1.0
1337	"ENSG00000087460.24"	"GNAS"	chr20	+	58898940	58898985	58895162	58895684	58903530	58903556	1337	1,0	0,2	0,3	0,1	94	49	1	1.0	1.0,0.0	NA,0.61	-0.11
1901	"ENSG00000170889.13"	"RPS9"	chr19	+	54206552	54206724	54206275	54206462	54207397	54207522	1901	2,0	2,0	0,0	1,1	221	49	1	1.0	0.181,NA	0.0,0.0	0.181
2076	"ENSG00000105443.14"	"CYTH2"	chr19	+	48477716	48477719	48474837	48474949	48478068	48478145	2076	0,1	0,0	0,0	1,0	52	49	1	1.0	NA,1.0	0.0,NA	1.0
2229	"ENSG00000160570.13"	"DEDD2"	chr19	-	42216679	42217045	42215132	42215252	42217631	42217669	2229	1,0	0,0	0,0	1,0	415	49	1	1.0	1.0,NA	0.0,NA	1.0
3163	"ENSG00000071626.16"	"DAZAP1"	chr19	+	1425877	1425960	1422347	1422396	1428841	1428995	3163	0,2	2,0	1,2	0,0	132	49	0.00432846977019	0.192616904773	0.0,1.0	1.0,1.0	-0.5
3799	"ENSG00000214049.7"	"UCA1"	chr19	+	15834501	15835114	15831197	15831356	15835217	15835280	3799	4,1	0,1	1,0	0,0	662	49	1	1.0	1.0,0.069	1.0,NA	-0.466
4937	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16441073	16441130	16439326	16440253	16441367	16441615	4937	2,2	1,0	0,2	0,0	106	49	1	1.0	0.48,1.0	NA,1.0	-0.26
7137	"ENSG00000023191.16"	"RNH1"	chr11	-	504823	504996	502061	502249	507112	507195	7137	1,1	1,0	0,1	1,0	222	49	0.000706780440564	0.0629034592102	0.181,1.0	0.0,1.0	0.091
7324	"ENSG00000112651.11"	"MRPL2"	chr6	-	43055544	43055618	43054028	43054486	43055896	43056007	7324	1,1	0,0	0,1	1,0	123	49	1	1.0	1.0,1.0	0.0,1.0	0.5
7595	"ENSG00000174775.16"	"HRAS"	chr11	-	534211	534375	533765	533944	535415	535534	7595	1,0	1,0	0,3	0,0	213	49	1	1.0	0.187,NA	NA,1.0	-0.813
8081	"ENSG00000197451.11"	"HNRNPAB"	chr5	+	178210131	178210272	178209329	178209447	178210552	178211142	8081	0,2	0,0	0,0	1,0	190	49	1	1.0	NA,1.0	0.0,NA	1.0
8411	"ENSG00000181924.6"	"CHCHD8"	chr11	-	73876478	73876575	73872996	73873394	73876756	73876843	8411	0,0	0,1	0,1	0,0	146	49	1	1.0	NA,0.0	NA,1.0	-1.0
9104	"ENSG00000049167.14"	"ERCC8"	chr5	-	60892036	60893643	60890888	60891086	60898275	60898400	9104	0,0	1,0	0,2	0,0	1656	49	1	1.0	0.0,NA	NA,1.0	-1.0
9430	"ENSG00000183696.13"	"UPP1"	chr7	+	48101823	48101870	48099669	48099787	48106872	48107082	9430	0,0	0,1	1,0	0,0	96	49	1	1.0	NA,0.0	1.0,NA	-1.0
9864	"ENSG00000276170.4"	"AC124789.1"	chr17	-	38451305	38451393	38450393	38450723	38451625	38451756	9864	0,0	1,0	0,2	0,0	137	49	1	1.0	0.0,NA	NA,1.0	-1.0
10100	"ENSG00000269893.6"	"SNHG8"	chr4	+	118278943	118279137	118278757	118278792	118279388	118279431	10100	0,1	0,0	2,1	1,0	243	49	1	1.0	NA,1.0	0.287,1.0	0.357
10449	"ENSG00000138663.8"	"COPS4"	chr4	+	83068437	83068522	83066437	83066553	83075296	83075371	10449	0,0	1,0	0,1	0,0	134	49	1	1.0	0.0,NA	NA,1.0	-1.0
