ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
83	0,1	2,0	0,0	1,1	97	98	1	1.0	0.0,1.0	0.0,0.0	0.5
255	0,0	0,1	0,1	0,1	98	93	1	1.0	NA,0.0	NA,0.487	-0.487
436	1,1	0,1	0,0	0,1	98	98	1	1.0	1.0,0.5	NA,0.0	0.75
465	1,0	0,0	0,0	0,1	98	98	1	1.0	1.0,NA	NA,0.0	1.0
632	0,1	1,0	0,2	1,0	98	98	0.0492164831103	0.218146118071	0.0,1.0	0.0,1.0	0.0
810	0,1	7,2	0,0	1,2	98	98	1	1.0	0.0,0.333	0.0,0.0	0.167
1268	0,1	0,0	0,0	1,0	98	98	1	1.0	NA,1.0	0.0,NA	1.0
1344	0,0	1,0	0,1	0,0	98	98	1	1.0	0.0,NA	NA,1.0	-1.0
1695	1,0	0,0	0,1	2,0	98	98	1	1.0	1.0,NA	0.0,1.0	0.5
1794	0,2	0,2	0,2	0,2	98	98	1	1.0	NA,0.5	NA,0.5	0.0
1795	0,0	0,1	1,0	0,0	98	98	1	1.0	NA,0.0	1.0,NA	-1.0
1931	3,4	1,0	0,1	1,1	77	98	0.00530489970728	0.0450916475119	0.792,1.0	0.0,0.56	0.616
1932	3,4	1,0	0,1	1,1	98	98	0.00243317385393	0.0413639555168	0.75,1.0	0.0,0.5	0.625
2201	1,1	1,1	1,0	2,0	85	98	1	1.0	0.536,0.536	0.366,NA	0.17
2236	0,3	3,3	2,3	3,0	98	98	0.0513284983696	0.218146118071	0.0,0.5	0.4,1.0	-0.45
2277	0,1	0,0	0,0	1,1	98	98	1	1.0	NA,1.0	0.0,0.0	1.0
2372	2,3	3,4	1,6	3,3	98	98	0.667178020602	1.0	0.4,0.429	0.25,0.667	-0.044
