ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000183878.15"	"UTY"	chrY	-	13358463	13358619	13359087	13359222	13357876	13357969	13359766	13359986
1	"ENSG00000092377.13"	"TBL1Y"	chrY	+	6978212	6978243	6995803	6995898	6912087	6912172	7021448	7021537
2	"ENSG00000198223.16_PAR_Y"	"CSF2RA"	chrY	+	1300490	1300626	1303922	1304019	1295426	1295456	1305445	1305527
3	"ENSG00000205755.11_PAR_Y"	"CRLF2"	chrY	-	1198561	1198724	1198800	1199145	1196779	1196900	1202401	1202535
4	"ENSG00000184216.13"	"IRAK1"	chrX	-	154014041	154014278	154016031	154016097	154013042	154013433	154016436	154016644
5	"ENSG00000089820.15"	"ARHGAP4"	chrX	-	153918831	153919053	153921096	153921159	153913777	153913879	153921364	153921527
6	"ENSG00000102181.20"	"CD99L2"	chrX	-	150816278	150816455	150828305	150829604	150816006	150816078	150831230	150831293
7	"ENSG00000063601.16"	"MTMR1"	chrX	+	150712341	150712365	150714478	150714529	150699194	150699300	150718624	150718700
8	"ENSG00000063601.16"	"MTMR1"	chrX	+	150712729	150712753	150712943	150712970	150712341	150712365	150714478	150714529
9	"ENSG00000063601.16"	"MTMR1"	chrX	+	150712943	150712970	150714478	150714529	150712341	150712365	150718624	150718700
10	"ENSG00000063601.16"	"MTMR1"	chrX	+	150712943	150712970	150714478	150714532	150712341	150712365	150718624	150718700
11	"ENSG00000101901.11"	"ALG13"	chrX	+	111682131	111682235	111682235	111682294	111681169	111681424	111684964	111685103
12	"ENSG00000126733.20"	"DACH2"	chrX	+	86184232	86184350	86376823	86376862	86148620	86149108	86514278	86514391
13	"ENSG00000165259.13"	"HDX"	chrX	-	84475250	84475397	84488023	84488132	84468471	84469575	84502341	84502453
14	"ENSG00000225470.7"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	73998767	73998844
15	"ENSG00000147099.19"	"HDAC8"	chrX	-	72567888	72568030	72568753	72568884	72495155	72495268	72572056	72572109
16	"ENSG00000196998.17"	"WDR45"	chrX	-	49076429	49076524	49077642	49077747	49075865	49075945	49077836	49077911
17	"ENSG00000196998.17"	"WDR45"	chrX	-	49076644	49076750	49077642	49077747	49076429	49076524	49077836	49077911
18	"ENSG00000196998.17"	"WDR45"	chrX	-	49076644	49076753	49077642	49077747	49076429	49076524	49077836	49077911
19	"ENSG00000102312.21"	"PORCN"	chrX	+	48512834	48512852	48514126	48514141	48512588	48512719	48514239	48514365
20	"ENSG00000147044.21"	"CASK"	chrX	-	41555599	41555635	41557031	41557100	41553718	41553915	41559778	41559847
21	"ENSG00000189023.10"	"MAGEB16"	chrX	+	35800516	35800568	35801320	35801374	35798341	35798418	35802130	35803735
22	"ENSG00000102054.17"	"RBBP7"	chrX	-	16852415	16852550	16852550	16852628	16852045	16852122	16852748	16852875
23	"ENSG00000205755.11"	"CRLF2"	chrX	-	1198561	1198724	1198800	1199145	1196779	1196900	1202401	1202535
24	"ENSG00000184164.14"	"CRELD2"	chr22	+	49923233	49923317	49924359	49924455	49922611	49922707	49925416	49925557
25	"ENSG00000054611.13"	"TBC1D22A"	chr22	+	46797443	46797620	46878652	46878723	46793500	46793841	46891265	46891394
26	"ENSG00000054611.13"	"TBC1D22A"	chr22	+	46913333	46913446	46974289	46974399	46912073	46912188	46997633	46997709
27	"ENSG00000186976.14"	"EFCAB6"	chr22	-	43782179	43782325	43797244	43797351	43765304	43765393	43808994	43809131
28	"ENSG00000100372.14"	"SLC25A17"	chr22	-	40779757	40779894	40784512	40784604	40779008	40779125	40792524	40792676
29	"ENSG00000100372.14"	"SLC25A17"	chr22	-	40792524	40792676	40794513	40794580	40779008	40779125	40799022	40799083
30	"ENSG00000100354.20"	"TNRC6B"	chr22	+	40264687	40267036	40270121	40270280	40261831	40262173	40273424	40273600
31	"ENSG00000100211.10"	"CBY1"	chr22	+	38665545	38665685	38667568	38667662	38656955	38657143	38668016	38668132
32	"ENSG00000128284.19"	"APOL3"	chr22	-	36149770	36149964	36153284	36153423	36149258	36149371	36160668	36160755
33	"ENSG00000100320.22"	"RBFOX2"	chr22	-	35752612	35752655	35756104	35756144	35746472	35746561	35759887	35760020
34	"ENSG00000248751.6"	"RP1-130H16.18"	chr22	-	30288705	30288776	30292772	30292851	30287372	30287560	30293650	30293805
35	"ENSG00000159873.9"	"CCDC117"	chr22	+	28773724	28773778	28780947	28781172	28772673	28773034	28783507	28783645
36	"ENSG00000100095.18"	"SEZ6L"	chr22	+	26351051	26351243	26365371	26365566	26347718	26347913	26375574	26375689
37	"ENSG00000102024.17"	"PLS3"	chrX	+	115610802	115610921	115614152	115614534	115610242	115610323	115622245	115622409
38	"ENSG00000102024.17"	"PLS3"	chrX	+	115624340	115624380	115629197	115629327	115622245	115622409	115629834	115629967
39	"ENSG00000125675.17"	"GRIA3"	chrX	+	123465673	123465788	123480062	123480177	123464864	123465112	123482798	123483046
40	"ENSG00000169314.14"	"C22orf15"	chr22	+	23764792	23764902	23765376	23765457	23764638	23764713	23765720	23765861
41	"ENSG00000223553.6"	"AC007050.9"	chr22	-	20621926	20622126	20622484	20622559	20621698	20621801	20622708	20622851
42	"ENSG00000015475.18"	"BID"	chr22	-	17743802	17744013	17750104	17750174	17739348	17739488	17774380	17774495
43	"ENSG00000099968.17"	"BCL2L13"	chr22	+	17683213	17683321	17702242	17702386	17655661	17655832	17726676	17730855
44	"ENSG00000099968.17"	"BCL2L13"	chr22	+	17688985	17689142	17696140	17696210	17683213	17683321	17702242	17702386
45	"ENSG00000099968.17"	"BCL2L13"	chr22	+	17696140	17696210	17702242	17702386	17688985	17689142	17726676	17730855
46	"ENSG00000160201.11"	"U2AF1"	chr21	-	43100452	43100519	43100576	43100614	43095693	43095743	43104314	43104402
47	"ENSG00000160201.11"	"U2AF1"	chr21	-	43100452	43100519	43101365	43101432	43095693	43095743	43104314	43104402
48	"ENSG00000160201.11"	"U2AF1"	chr21	-	43100576	43100614	43101365	43101432	43095693	43095743	43104314	43104402
49	"ENSG00000157578.13"	"LCA5L"	chr21	-	39435419	39435542	39438683	39438718	39429130	39429211	39444134	39444201
50	"ENSG00000157578.13"	"LCA5L"	chr21	-	39435419	39435573	39438683	39438718	39429130	39429211	39444134	39444201
51	"ENSG00000157578.13"	"LCA5L"	chr21	-	39436096	39436167	39439633	39439773	39435419	39435573	39444134	39444201
52	"ENSG00000157554.18"	"ERG"	chr21	-	38392375	38392444	38400573	38400645	38391658	38391715	38402556	38402637
53	"ENSG00000230366.9"	"DSCR9"	chr21	+	37210004	37210114	37214095	37214153	37208653	37208756	37216404	37216493
54	"ENSG00000159267.14"	"HLCS"	chr21	-	36946008	36946154	36947332	36948287	36938831	36938994	36962035	36962170
55	"ENSG00000159267.14"	"HLCS"	chr21	-	36946008	36946154	36948165	36948287	36938831	36938994	36962035	36962170
56	"ENSG00000159256.12"	"MORC3"	chr21	+	36380230	36380318	36380625	36380682	36377409	36377507	36384729	36384829
57	"ENSG00000159147.17"	"DONSON"	chr21	-	33583487	33583666	33584589	33584768	33582164	33582246	33585977	33586181
58	"ENSG00000229425.2"	"AJ006998.2"	chr21	-	15393970	15394043	15394999	15395129	15390577	15390618	15395462	15395497
59	"ENSG00000274391.4"	"TPTE"	chr21	+	10542394	10542448	10543328	10543382	10541111	10541165	10552656	10552716
60	"ENSG00000130703.16"	"OSBPL2"	chr20	+	62264628	62264718	62271633	62271731	62263615	62263691	62272124	62272259
61	"ENSG00000101181.17"	"MTG2"	chr20	+	62197851	62197967	62198633	62198852	62195801	62195949	62199118	62199257
62	"ENSG00000124222.22"	"STX16"	chr20	+	58659622	58659634	58667200	58667318	58652072	58652087	58667489	58667597
63	"ENSG00000087586.17"	"AURKA"	chr20	-	56388311	56388506	56388686	56388784	56388155	56388202	56390555	56390665
64	"ENSG00000087586.17"	"AURKA"	chr20	-	56388686	56388784	56390555	56390665	56388155	56388202	56392153	56392215
65	"ENSG00000198185.11"	"ZNF334"	chr20	-	46506306	46506458	46509604	46509751	46504613	46504740	46512081	46512140
66	"ENSG00000101017.13"	"CD40"	chr20	+	46123125	46123219	46126639	46126701	46122609	46122756	46128137	46128224
67	"ENSG00000124116.18"	"WFDC3"	chr20	-	45777074	45777206	45787835	45787982	45775416	45775602	45788930	45789059
68	"ENSG00000196756.11"	"RP4-564F22.2"	chr20	-	38422091	38422241	38425934	38426052	38421005	38421098	38426418	38426503
69	"ENSG00000101084.17"	"C20orf24"	chr20	+	36607889	36608000	36609600	36609730	36607714	36607818	36612009	36612557
70	"ENSG00000101084.17"	"C20orf24"	chr20	+	36607889	36608000	36609600	36609758	36607714	36607818	36612009	36612557
71	"ENSG00000080845.17"	"DLGAP4"	chr20	+	36499241	36499321	36499587	36499676	36496704	36497066	36500198	36500611
72	"ENSG00000088367.21"	"EPB41L1"	chr20	+	36121659	36121816	36125422	36125527	36112425	36112480	36175550	36175715
73	"ENSG00000088367.21"	"EPB41L1"	chr20	+	36121659	36121816	36173763	36173954	36112425	36112480	36175550	36175715
74	"ENSG00000088367.21"	"EPB41L1"	chr20	+	36125422	36125527	36173763	36173954	36112425	36112480	36175550	36175715
75	"ENSG00000025293.16"	"PHF20"	chr20	+	35782327	35782609	35800093	35800173	35772025	35772079	35801490	35801605
76	"ENSG00000125991.19"	"ERGIC3"	chr20	+	35549162	35549207	35554371	35554386	35548807	35548865	35555043	35555075
