ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
83	"ENSG00000088832.16"	"FKBP1A"	chr20	-	1375490	1375603	1392833	1392881	1372075	1372240	1392961	1393172	83	0,1	2,0	0,0	1,1	97	98	1	1.0	0.0,1.0	0.0,0.0	0.5
255	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16439326	16439414	16439659	16439703	16439037	16439060	16440184	16440253	255	0,0	0,1	0,1	0,1	98	93	1	1.0	NA,0.0	NA,0.487	-0.487
436	"ENSG00000137210.13"	"TMEM14B"	chr6	+	10749621	10749698	10751132	10751234	10749201	10749268	10755141	10755232	436	1,1	0,1	0,0	0,1	98	98	1	1.0	1.0,0.5	NA,0.0	0.75
465	"ENSG00000113648.16"	"H2AFY"	chr5	-	135350822	135350913	135352945	135353045	135345967	135346057	135360496	135360607	465	1,0	0,0	0,0	0,1	98	98	1	1.0	1.0,NA	NA,0.0	1.0
632	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179620891	179621035	179621241	179621397	179619268	179619407	179623036	179623164	632	0,1	1,0	0,2	1,0	98	98	0.0492164831103	0.218146118071	0.0,1.0	0.0,1.0	0.0
810	"ENSG00000067225.17"	"PKM"	chr15	-	72202453	72202620	72203021	72203188	72200473	72200655	72206727	72206880	810	0,1	7,2	0,0	1,2	98	98	1	1.0	0.0,0.333	0.0,0.0	0.167
1268	"ENSG00000112715.21"	"VEGFA"	chr6	+	43778459	43778536	43782010	43782087	43777468	43777665	43784540	43784562	1268	0,1	0,0	0,0	1,0	98	98	1	1.0	NA,1.0	0.0,NA	1.0
1344	"ENSG00000143537.13"	"ADAM15"	chr1	+	155053416	155053493	155053909	155053988	155052670	155052777	155054149	155054226	1344	0,0	1,0	0,1	0,0	98	98	1	1.0	0.0,NA	NA,1.0	-1.0
1695	"ENSG00000049541.10"	"RFC2"	chr7	-	74246661	74246763	74249011	74249118	74243145	74243246	74249738	74249780	1695	1,0	0,0	0,1	2,0	98	98	1	1.0	1.0,NA	0.0,1.0	0.5
1794	"ENSG00000110958.15"	"PTGES3"	chr12	-	56670274	56670364	56671748	56671847	56666203	56666266	56672739	56672809	1794	0,2	0,2	0,2	0,2	98	98	1	1.0	NA,0.5	NA,0.5	0.0
1795	"ENSG00000110958.15"	"PTGES3"	chr12	-	56671748	56671809	56672739	56672809	56670274	56670364	56672951	56673065	1795	0,0	0,1	1,0	0,0	98	98	1	1.0	NA,0.0	1.0,NA	-1.0
1931	"ENSG00000149273.14"	"RPS3"	chr11	+	75402351	75402379	75404019	75404207	75401639	75401733	75404671	75404868	1931	3,4	1,0	0,1	1,1	77	98	0.00530489970728	0.0450916475119	0.792,1.0	0.0,0.56	0.616
1932	"ENSG00000149273.14"	"RPS3"	chr11	+	75402351	75402446	75404019	75404207	75401639	75401733	75404671	75404868	1932	3,4	1,0	0,1	1,1	98	98	0.00243317385393	0.0413639555168	0.75,1.0	0.0,0.5	0.625
2201	"ENSG00000092841.18"	"MYL6"	chr12	+	56159586	56159622	56159622	56159730	56158683	56158711	56159974	56160148	2201	1,1	1,1	1,0	2,0	85	98	1	1.0	0.536,0.536	0.366,NA	0.17
2236	"ENSG00000089157.15"	"RPLP0"	chr12	-	120198553	120198739	120198853	120199000	120197321	120197462	120199117	120199205	2236	0,3	3,3	2,3	3,0	98	98	0.0513284983696	0.218146118071	0.0,0.5	0.4,1.0	-0.45
2277	"ENSG00000136104.20"	"RNASEH2B"	chr13	+	50929474	50929582	50930682	50930759	50927406	50927478	50934884	50934999	2277	0,1	0,0	0,0	1,1	98	98	1	1.0	NA,1.0	0.0,0.0	1.0
2372	"ENSG00000182718.16"	"ANXA2"	chr15	-	60364428	60364523	60386027	60386086	60360940	60361054	60397942	60397986	2372	2,3	3,4	1,6	3,3	98	98	0.667178020602	1.0	0.4,0.429	0.25,0.667	-0.044
