ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13	"ENSG00000147403.16"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	13	1,0	1,0	1,0	0,0	98	49	1	1.0	0.333,NA	1.0,NA	-0.667
14	"ENSG00000147403.16"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	14	2,1	1,2	0,1	1,1	98	49	0.072613747941	1.0	0.5,0.2	0.0,0.333	0.183
87	"ENSG00000102054.17"	"RBBP7"	chrX	-	16845827	16849301	16845827	16845938	16849243	16849301	87	0,1	1,1	0,0	0,1	98	49	1	1.0	0.0,0.333	NA,0.0	0.167
230	"ENSG00000198034.10"	"RPS4X"	chrX	-	72273800	72275150	72273800	72273972	72275052	72275150	230	1,0	4,4	1,1	4,1	98	49	0.726423922341	1.0	0.111,0.0	0.111,0.333	-0.167
255	"ENSG00000171858.17"	"RPS21"	chr20	+	62388308	62388519	62388308	62388364	62388456	62388519	255	0,0	1,1	0,2	0,3	98	49	1	1.0	0.0,0.0	NA,0.25	-0.25
257	"ENSG00000101158.13"	"NELFCD"	chr20	+	58988913	58989640	58988913	58989021	58989487	58989640	257	0,0	0,1	1,0	1,0	98	49	1	1.0	NA,0.0	0.333,NA	-0.333
272	"ENSG00000166913.12"	"YWHAB"	chr20	+	44901530	44904116	44901530	44901833	44903992	44904116	272	2,0	0,0	0,0	0,1	98	49	1	1.0	1.0,NA	NA,0.0	1.0
324	"ENSG00000130726.11"	"TRIM28"	chr19	+	58549736	58550035	58549736	58549860	58549948	58550035	324	1,0	2,3	1,0	0,0	98	49	1	1.0	0.2,0.0	1.0,NA	-0.9
334	"ENSG00000108107.14"	"RPL28"	chr19	+	55386569	55388048	55386569	55386693	55387929	55388048	334	2,0	2,0	1,0	0,0	98	49	1	1.0	0.333,NA	1.0,NA	-0.667
370	"ENSG00000142541.16"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489912	49490231	49490297	370	1,1	1,1	0,1	0,0	98	49	1	1.0	0.333,0.333	NA,1.0	-0.667
371	"ENSG00000142541.16"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489922	49490231	49490297	371	1,0	3,1	0,1	0,1	98	49	1	1.0	0.143,0.0	NA,0.333	-0.262
373	"ENSG00000142541.16"	"RPL13A"	chr19	+	49490231	49490576	49490231	49490297	49490474	49490576	373	0,1	7,3	0,0	1,2	98	49	1	1.0	0.0,0.143	0.0,0.0	0.071
374	"ENSG00000142541.16"	"RPL13A"	chr19	+	49490778	49491099	49490778	49490864	49491039	49491099	374	1,0	2,4	0,0	1,1	98	49	1	1.0	0.2,0.0	0.0,0.0	0.1
376	"ENSG00000142541.16"	"RPL13A"	chr19	+	49491039	49491547	49491039	49491099	49491424	49491547	376	0,1	4,2	0,0	4,1	98	49	1	1.0	0.0,0.2	0.0,0.0	0.1
526	"ENSG00000123143.12"	"PKN1"	chr19	+	14470574	14470851	14470574	14470682	14470770	14470851	526	0,0	0,1	0,1	0,0	98	49	1	1.0	NA,0.0	NA,1.0	-1.0
574	"ENSG00000105401.8"	"CDC37"	chr19	-	10395227	10395543	10395227	10395343	10395434	10395543	574	0,0	1,0	1,0	1,0	98	49	1	1.0	0.0,NA	0.333,NA	-0.333
619	"ENSG00000126934.13"	"MAP2K2"	chr19	-	4094452	4095449	4094452	4094498	4095387	4095449	619	0,0	3,0	1,0	1,0	98	49	1	1.0	0.0,NA	0.333,NA	-0.333
663	"ENSG00000118046.14"	"STK11"	chr19	+	1220372	1220717	1220372	1220505	1220580	1220717	663	0,1	0,0	0,0	0,1	98	49	1	1.0	NA,1.0	NA,0.0	1.0
727	"ENSG00000184009.10"	"ACTG1"	chr17	-	81510926	81511626	81510926	81511108	81511187	81511626	727	1,0	5,4	0,1	2,1	98	49	1	1.0	0.091,0.0	0.0,0.333	-0.121
729	"ENSG00000184009.10"	"ACTG1"	chr17	-	81512231	81512781	81512231	81512360	81512733	81512781	729	1,0	0,2	0,3	1,1	98	49	0.294169302341	1.0	1.0,0.0	0.0,0.6	0.2
791	"ENSG00000108654.14"	"DDX5"	chr17	-	64500548	64502069	64500548	64500773	64502009	64502069	791	0,1	1,0	0,1	1,0	98	49	1	1.0	0.0,1.0	0.0,1.0	0.0
894	"ENSG00000108298.10"	"RPL19"	chr17	+	39202316	39203109	39202316	39202439	39202988	39203109	894	0,1	3,3	0,0	3,1	98	49	1	1.0	0.0,0.143	0.0,0.0	0.071
907	"ENSG00000173812.10"	"EIF1"	chr17	+	41689777	41690189	41689777	41689941	41690087	41690189	907	1,1	0,0	0,0	1,1	98	49	1.77269918744e-08	1.80815317119e-06	1.0,1.0	0.0,0.0	1.0
962	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16439036	16439414	16439036	16439060	16439326	16439414	962	0,1	0,0	0,0	0,1	98	49	1	1.0	NA,1.0	NA,0.0	1.0
969	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16439326	16440253	16439326	16439703	16440184	16440253	969	0,1	0,1	1,0	0,1	98	49	1	1.0	NA,0.333	1.0,0.0	-0.167
1004	"ENSG00000161960.14"	"EIF4A1"	chr17	+	7576523	7577165	7576523	7576692	7577055	7577165	1004	1,0	3,0	1,0	3,0	98	49	1	1.0	0.143,NA	0.143,NA	0.0
1005	"ENSG00000161960.14"	"EIF4A1"	chr17	+	7577568	7578244	7577568	7577706	7577826	7578244	1005	0,3	0,0	0,0	1,1	98	49	1	1.0	NA,1.0	0.0,0.0	1.0
1014	"ENSG00000132507.17"	"EIF5A"	chr17	+	7311349	7311651	7311349	7311481	7311577	7311651	1014	0,1	2,3	0,1	1,2	98	49	1	1.0	0.0,0.143	0.0,0.2	-0.029
1064	"ENSG00000167526.13"	"RPL13"	chr16	+	89560939	89561368	89560939	89561063	89561226	89561368	1064	1,1	3,0	0,1	0,1	98	49	1	1.0	0.143,1.0	NA,0.333	0.238
1086	"ENSG00000182944.17"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291564	29291599	1086	1,0	0,0	0,0	0,1	98	49	1	1.0	1.0,NA	NA,0.0	1.0
