ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
336	0,0	0,2	1,0	0,1	52	49	1
457	2,2	2,0	0,0	1,1	894	49	0.409506962308
493	1,0	3,1	0,1	0,1	154	49	1
586	1,0	0,0	0,0	0,1	108	49	1
829	0,1	0,1	1,1	0,0	100	49	1
924	1,0	4,0	0,1	4,0	226	49	1
947	4,3	0,1	1,0	0,0	765	49	1
1007	0,1	0,1	0,0	1,0	77	49	1
1083	1,0	0,0	0,0	0,1	67	49	1
1246	0,1	0,1	1,0	0,1	123	49	1
1426	0,0	0,1	1,0	0,0	66	49	1
2075	0,0	1,0	1,0	1,0	138	49	1
2669	0,0	1,0	0,1	0,0	80	49	1
2805	0,0	1,2	2,1	4,3	119	49	0.144059290763
2828	0,1	0,1	0,0	1,0	52	49	1
2829	0,1	0,1	0,0	1,0	55	49	1
2894	3,2	0,0	2,1	1,0	742	49	1
3246	0,0	0,1	0,1	0,0	70	49	1
3392	1,0	0,0	0,0	2,0	69	49	1
3395	0,0	3,6	1,0	1,0	65	49	1
3851	0,0	1,0	0,2	0,0	803	49	1
4285	1,0	0,2	0,0	0,1	149	49	1
4390	0,0	0,1	1,0	0,0	52	49	1
4851	1,4	1,0	3,3	1,0	195	49	1
5624	1,1	0,1	0,1	0,0	56	49	1
5625	0,0	0,1	0,1	0,0	80	49	1
5660	1,1	0,1	0,0	0,4	52	49	1
5884	1,0	0,0	0,0	0,1	67	49	1
5998	0,1	1,2	0,0	1,1	67	49	1
6676	0,0	0,1	0,1	0,0	701	49	1
6804	0,1	3,4	0,1	0,1	97	49	1
6933	1,3	1,0	0,2	0,0	200	49	1
6959	1,0	0,0	0,0	0,1	58	49	1
7193	6,1	0,0	4,4	1,0	56	49	1
7981	0,1	4,3	1,0	3,5	80	49	1
7984	1,0	1,0	0,1	3,0	109	49	1
