ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
960	"ENSG00000258555.6"	"SPECC1L-ADORA2A"	chr22	+	24343481	24343603	24338385	24338477	24347085	24347176
3154	"ENSG00000267059.2"	"AC005943.2"	chr19	-	1582621	1582712	1581091	1581269	1584539	1584677
7595	"ENSG00000174775.16"	"HRAS"	chr11	-	534211	534375	533765	533944	535415	535534
9428	"ENSG00000183696.13"	"UPP1"	chr7	+	48099669	48099787	48094762	48094827	48106872	48107082
9430	"ENSG00000183696.13"	"UPP1"	chr7	+	48101823	48101870	48099669	48099787	48106872	48107082
9528	"ENSG00000249915.7"	"PDCD6"	chr5	+	304176	304221	272710	272772	314416	314806
9532	"ENSG00000249915.7"	"PDCD6"	chr5	+	311292	311402	272710	272772	314416	314686
13640	"ENSG00000068878.14"	"PSME4"	chr2	-	53890103	53890208	53888720	53888812	53892807	53892960
14705	"ENSG00000130702.15"	"LAMA5"	chr20	-	62322657	62322758	62322268	62322449	62323455	62323670
15045	"ENSG00000196776.15"	"CD47"	chr3	-	108051938	108051970	108043093	108047292	108057476	108057569
15369	"ENSG00000130723.19"	"PRRC2B"	chr9	+	131446400	131446642	131444184	131444328	131447084	131447206
15565	"ENSG00000163870.14"	"TPRA1"	chr3	-	127575939	127576050	127575184	127575265	127576616	127576696
16641	"ENSG00000142910.15"	"TINAGL1"	chr1	+	31585752	31585876	31585439	31585485	31586709	31586755
16785	"ENSG00000131370.15"	"SH3BP5"	chr3	-	15256852	15257113	15254852	15256303	15258830	15258883
17090	"ENSG00000117153.15"	"KLHL12"	chr1	-	202896853	202896960	202895521	202895717	202909009	202909124
17364	"ENSG00000164292.12"	"RHOBTB3"	chr5	+	95755395	95755761	95752238	95752350	95763507	95763542
18058	"ENSG00000064225.12"	"ST3GAL6"	chr3	+	98791840	98791993	98773919	98773983	98793674	98793944
18395	"ENSG00000135763.9"	"URB2"	chr1	+	229645858	229645969	229643532	229643693	229647509	229647752
18471	"ENSG00000213741.10"	"RPS29"	chr14	-	49585949	49586049	49583571	49583675	49598399	49598690
19331	"ENSG00000164327.12"	"RICTOR"	chr5	-	38942832	38942971	38937918	38942378	38944445	38944569
19604	"ENSG00000084207.16"	"GSTP1"	chr11	+	67584133	67584169	67583594	67583844	67584684	67584772
21128	"ENSG00000144136.10"	"SLC20A1"	chr2	+	112657121	112657241	112652701	112652798	112658973	112659094
21147	"ENSG00000213204.8"	"RP3-382I10.7"	chr6	+	87506880	87507061	87506381	87506448	87508419	87508596
23391	"ENSG00000143537.13"	"ADAM15"	chr1	+	155053909	155053988	155053416	155053493	155054149	155054226
24002	"ENSG00000243667.6"	"WDR92"	chr2	-	68147466	68147567	68144584	68144715	68156926	68157549
24515	"ENSG00000206190.11"	"ATP10A"	chr15	-	25680809	25680914	25680120	25680308	25680993	25681074
25437	"ENSG00000127463.14"	"EMC1"	chr1	-	19235129	19235252	19232935	19233135	19237141	19237238
26066	"ENSG00000162511.7"	"LAPTM5"	chr1	-	30742455	30742549	30741639	30741716	30757658	30757820
26079	"ENSG00000137309.19"	"HMGA1"	chr6	+	34242711	34242795	34240736	34240915	34243467	34243518
26596	"ENSG00000135486.17"	"HNRNPA1"	chr12	+	54282799	54282874	54282572	54282665	54283811	54283878
26844	"ENSG00000099194.5"	"SCD"	chr10	+	100356531	100356764	100354426	100354632	100360733	100364834
27572	"ENSG00000058668.14"	"ATP2B4"	chr1	+	203723880	203723988	203722477	203722689	203727394	203727571
28483	"ENSG00000231290.5"	"RP5-907D15.2"	chr20	+	58547811	58547928	58523713	58523806	58573575	58573824
28561	"ENSG00000071462.11"	"WBSCR22"	chr7	+	73693991	73694050	73692595	73692646	73697604	73697694
30248	"ENSG00000242372.7"	"EIF6"	chr20	-	35279565	35279747	35278910	35279206	35279941	35280118
31132	"ENSG00000100097.11"	"LGALS1"	chr22	+	37678375	37678654	37676998	37677065	37679602	37679802
31133	"ENSG00000100097.11"	"LGALS1"	chr22	+	37678482	37678654	37676855	37677065	37679602	37679640
31360	"ENSG00000249859.9"	"PVT1"	chr8	+	127795893	127796008	127794556	127794734	127939507	127939609
31365	"ENSG00000249859.9"	"PVT1"	chr8	+	127855154	127855319	127796032	127796071	127890588	127890795
31366	"ENSG00000249859.9"	"PVT1"	chr8	+	127890588	127890998	127794556	127794734	127939507	127940454
32195	"ENSG00000090316.15"	"MAEA"	chr4	+	1338421	1338617	1336860	1336994	1339073	1339177
32196	"ENSG00000090316.15"	"MAEA"	chr4	+	1338425	1338617	1336860	1336994	1339073	1340108
33825	"ENSG00000042286.14"	"AIFM2"	chr10	-	70117811	70117920	70116621	70116774	70120506	70120599
34016	"ENSG00000105397.13"	"TYK2"	chr19	-	10378213	10378426	10368294	10368418	10379614	10379689
34627	"ENSG00000177600.8"	"RPLP2"	chr11	+	810233	810357	809646	810039	811596	811645
37388	"ENSG00000100722.18"	"ZC3H14"	chr14	+	88577984	88578140	88575839	88575940	88596733	88596808
37452	"ENSG00000139644.12"	"TMBIM6"	chr12	+	49741201	49741329	49738992	49739082	49752463	49752526
