ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13	"ENSG00000147403.16"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594	13	1,0	1,0	1,0	0,0	139	49	1	1.0	0.261,NA	1.0,NA	-0.739
14	"ENSG00000147403.16"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626	14	2,1	1,2	2,1	1,1	571	49	0.643578018285	1.0	0.146,0.041	0.146,0.079	-0.019
87	"ENSG00000102054.17"	"RBBP7"	chrX	-	16845827	16849301	16845827	16845938	16849243	16849301	87	0,2	1,1	0,0	0,1	3354	49	1	1.0	0.0,0.028	NA,0.0	0.014
230	"ENSG00000198034.10"	"RPS4X"	chrX	-	72273800	72275150	72273800	72273972	72275052	72275150	230	1,0	4,4	1,1	4,1	1129	49	1	1.0	0.011,0.0	0.011,0.042	-0.021
255	"ENSG00000171858.17"	"RPS21"	chr20	+	62388308	62388519	62388308	62388364	62388456	62388519	255	0,0	1,1	0,2	0,3	141	49	1	1.0	0.0,0.0	NA,0.188	-0.188
257	"ENSG00000101158.13"	"NELFCD"	chr20	+	58988913	58989640	58988913	58989021	58989487	58989640	257	0,0	0,1	2,0	1,0	515	49	1	1.0	NA,0.0	0.16,NA	-0.16
272	"ENSG00000166913.12"	"YWHAB"	chr20	+	44901530	44904116	44901530	44901833	44903992	44904116	272	2,0	0,0	0,0	0,1	2208	49	1	1.0	1.0,NA	NA,0.0	1.0
324	"ENSG00000130726.11"	"TRIM28"	chr19	+	58549736	58550035	58549736	58549860	58549948	58550035	324	1,0	2,3	1,0	0,0	137	49	1	1.0	0.152,0.0	1.0,NA	-0.924
334	"ENSG00000108107.14"	"RPL28"	chr19	+	55386569	55388048	55386569	55386693	55387929	55388048	334	2,0	2,0	1,2	0,0	1285	49	1	1.0	0.037,NA	1.0,1.0	-0.963
370	"ENSG00000142541.16"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489912	49490231	49490297	370	1,1	1,1	0,1	0,0	368	49	1	1.0	0.118,0.118	NA,1.0	-0.882
371	"ENSG00000142541.16"	"RPL13A"	chr19	+	49489849	49490297	49489849	49489922	49490231	49490297	371	1,0	3,1	0,1	0,1	358	49	1	1.0	0.044,0.0	NA,0.12	-0.098
373	"ENSG00000142541.16"	"RPL13A"	chr19	+	49490231	49490576	49490231	49490297	49490474	49490576	373	0,1	7,3	0,0	1,2	226	49	1	1.0	0.0,0.067	0.0,0.0	0.034
374	"ENSG00000142541.16"	"RPL13A"	chr19	+	49490778	49491099	49490778	49490864	49491039	49491099	374	1,0	2,4	0,0	1,1	224	49	1	1.0	0.099,0.0	0.0,0.0	0.05
376	"ENSG00000142541.16"	"RPL13A"	chr19	+	49491039	49491547	49491039	49491099	49491424	49491547	376	0,1	4,2	0,0	4,1	374	49	1	1.0	0.0,0.061	0.0,0.0	0.03
489	"ENSG00000064607.16"	"SUGP2"	chr19	-	18990887	18993740	18990887	18991149	18993637	18993740	489	1,2	0,1	0,2	0,0	2537	49	1	1.0	1.0,0.037	NA,1.0	-0.482
526	"ENSG00000123143.12"	"PKN1"	chr19	+	14470574	14470851	14470574	14470682	14470770	14470851	526	0,0	0,1	0,1	0,0	137	49	1	1.0	NA,0.0	NA,1.0	-1.0
541	"ENSG00000179262.9"	"RAD23A"	chr19	+	12948685	12949159	12948685	12948813	12949080	12949159	541	0,1	0,0	0,0	0,1	316	49	1	1.0	NA,1.0	NA,0.0	1.0
574	"ENSG00000105401.8"	"CDC37"	chr19	-	10395227	10395543	10395227	10395343	10395434	10395543	574	0,0	1,0	2,0	1,0	140	49	1	1.0	0.0,NA	0.412,NA	-0.412
619	"ENSG00000126934.13"	"MAP2K2"	chr19	-	4094452	4095449	4094452	4094498	4095387	4095449	619	0,0	3,0	1,0	1,0	938	49	1	1.0	0.0,NA	0.05,NA	-0.05
663	"ENSG00000118046.14"	"STK11"	chr19	+	1220372	1220717	1220372	1220505	1220580	1220717	663	0,1	0,0	0,0	0,1	124	49	1	1.0	NA,1.0	NA,0.0	1.0
676	"ENSG00000070423.17"	"RNF126"	chr19	-	648881	649748	648881	648975	649678	649748	676	0,0	0,1	0,1	0,0	752	49	1	1.0	NA,0.0	NA,1.0	-1.0
711	"ENSG00000141551.14"	"CSNK1D"	chr17	-	82245975	82249014	82245975	82246039	82248874	82249014	711	0,2	0,0	0,0	0,1	2884	49	1	1.0	NA,1.0	NA,0.0	1.0
727	"ENSG00000184009.10"	"ACTG1"	chr17	-	81510926	81511626	81510926	81511108	81511187	81511626	727	1,0	5,4	0,2	2,1	128	49	1	1.0	0.071,0.0	0.0,0.434	-0.181
729	"ENSG00000184009.10"	"ACTG1"	chr17	-	81512231	81512781	81512231	81512360	81512733	81512781	729	1,0	0,2	0,3	1,1	422	49	0.555516875198	1.0	1.0,0.0	0.0,0.258	0.371
791	"ENSG00000108654.14"	"DDX5"	chr17	-	64500548	64502069	64500548	64500773	64502009	64502069	791	0,1	1,0	2,3	1,0	1285	49	0.392105789684	1.0	0.0,1.0	0.071,1.0	-0.035
797	"ENSG00000087191.12"	"PSMC5"	chr17	+	63828137	63829563	63828137	63828209	63829493	63829563	797	1,0	1,0	0,2	0,0	1333	49	1	1.0	0.035,NA	NA,1.0	-0.965
894	"ENSG00000108298.10"	"RPL19"	chr17	+	39202316	39203109	39202316	39202439	39202988	39203109	894	0,1	3,3	0,0	3,1	598	49	1	1.0	0.0,0.027	0.0,0.0	0.013
907	"ENSG00000173812.10"	"EIF1"	chr17	+	41689777	41690189	41689777	41689941	41690087	41690189	907	1,1	0,0	0,0	1,1	195	49	9.47857081712e-09	6.01889246887e-07	1.0,1.0	0.0,0.0	1.0
962	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16439036	16439414	16439036	16439060	16439326	16439414	962	0,1	0,0	0,0	0,1	315	49	1	1.0	NA,1.0	NA,0.0	1.0
969	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16439326	16440253	16439326	16439703	16440184	16440253	969	0,1	0,1	1,0	0,1	530	49	1	1.0	NA,0.085	1.0,0.0	-0.415
1004	"ENSG00000161960.14"	"EIF4A1"	chr17	+	7576523	7577165	7576523	7576692	7577055	7577165	1004	1,0	3,0	1,0	3,0	412	49	1	1.0	0.038,NA	0.038,NA	0.0
1005	"ENSG00000161960.14"	"EIF4A1"	chr17	+	7577568	7578244	7577568	7577706	7577826	7578244	1005	0,3	0,0	1,0	1,1	169	49	1	1.0	NA,1.0	0.225,0.0	0.887
1014	"ENSG00000132507.17"	"EIF5A"	chr17	+	7311349	7311651	7311349	7311481	7311577	7311651	1014	0,1	2,3	0,1	1,2	145	49	1	1.0	0.0,0.101	0.0,0.145	-0.022
1064	"ENSG00000167526.13"	"RPL13"	chr16	+	89560939	89561368	89560939	89561063	89561226	89561368	1064	1,1	3,0	0,1	0,1	212	49	1	1.0	0.072,1.0	NA,0.188	0.348
1086	"ENSG00000182944.17"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288786	29291564	29291599	1086	1,0	0,0	0,0	0,1	2827	49	1	1.0	1.0,NA	NA,0.0	1.0
1179	"ENSG00000103502.13"	"CDIPT"	chr16	-	29862585	29862869	29862585	29862720	29862814	29862869	1179	1,0	0,0	0,0	1,0	143	49	1	1.0	1.0,NA	0.0,NA	1.0
1287	"ENSG00000140988.15"	"RPS2"	chr16	-	1962060	1962656	1962060	1962270	1962496	1962656	1287	0,0	6,5	0,1	2,5	275	49	1	1.0	0.0,0.0	0.0,0.034	-0.017
1291	"ENSG00000140988.15"	"RPS2"	chr16	-	1962496	1963256	1962496	1962909	1963148	1963256	1291	2,0	2,6	0,2	1,1	288	49	1	1.0	0.145,0.0	0.0,0.254	-0.055
1434	"ENSG00000156508.17"	"EEF1A1"	chr6	-	73518931	73519516	73518931	73519228	73519336	73519516	1434	1,2	14,15	1,2	14,11	157	49	0.914029218053	1.0	0.022,0.04	0.022,0.054	-0.007
