ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
64	"ENSG00000087586.17"	"AURKA"	chr20	-	56388686	56388784	56390555	56390665	56388155	56388202	56392153	56392215	64	0,0	0,1	1,0	1,0	159	147	1	1.0	NA,0.0	0.48,NA	-0.48
83	"ENSG00000088832.16"	"FKBP1A"	chr20	-	1375490	1375603	1392833	1392881	1372075	1372240	1392961	1393172	83	0,1	2,1	0,0	1,1	97	162	1	1.0	0.0,0.625	0.0,0.0	0.313
126	"ENSG00000257103.8"	"LSM14A"	chr19	+	34208928	34209051	34215123	34215300	34196633	34196763	34215595	34215661	126	1,0	0,0	1,0	0,2	172	226	1	1.0	1.0,NA	1.0,0.0	0.5
194	"ENSG00000108654.14"	"DDX5"	chr17	-	64504221	64504318	64504676	64504842	64503982	64504116	64506075	64506289	194	1,1	0,2	1,0	2,2	215	146	0.845568897776	1.0	1.0,0.253	0.253,0.0	0.5
201	"ENSG00000175063.16"	"UBE2C"	chr20	+	45814383	45814470	45815540	45815745	45813436	45813464	45815853	45815913	201	0,0	2,7	1,0	8,0	136	254	1	1.0	0.0,0.0	0.189,NA	-0.189
224	"ENSG00000131467.10"	"PSME3"	chr17	+	42838092	42838205	42838730	42838799	42837648	42837697	42838944	42839012	224	0,1	0,0	0,1	1,1	162	118	1	1.0	NA,1.0	0.0,0.421	0.789
255	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16439326	16439414	16439659	16439703	16439037	16439060	16440184	16440253	255	0,0	0,1	0,1	0,1	137	93	1	1.0	NA,0.0	NA,0.404	-0.404
436	"ENSG00000137210.13"	"TMEM14B"	chr6	+	10749621	10749698	10751132	10751234	10749201	10749268	10755141	10755232	436	1,1	0,2	0,0	1,1	126	151	0.591394395938	1.0	1.0,0.375	0.0,0.0	0.688
448	"ENSG00000041357.15"	"PSMA4"	chr15	+	78542482	78542645	78544189	78544267	78542176	78542219	78544868	78544957	448	0,0	1,0	2,0	1,0	212	127	1	1.0	0.0,NA	0.545,NA	-0.545
465	"ENSG00000113648.16"	"H2AFY"	chr5	-	135350822	135350913	135352945	135353045	135345967	135346057	135360496	135360607	465	1,0	0,0	0,0	0,2	149	140	1	1.0	1.0,NA	NA,0.0	1.0
511	"ENSG00000164172.18"	"MOCS2"	chr5	-	53101358	53101509	53102096	53102224	53100410	53100534	53107076	53107221	511	2,0	0,0	0,0	0,2	177	200	1	1.0	1.0,NA	NA,0.0	1.0
632	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179620891	179621035	179621241	179621397	179619268	179619407	179623036	179623164	632	2,1	1,0	2,3	1,1	205	193	0.0586527176282	0.801587140919	0.653,1.0	0.653,0.739	0.131
698	"ENSG00000118705.16"	"RPN2"	chr20	+	37198396	37198492	37199049	37199225	37184179	37184373	37203884	37203960	698	0,1	0,0	1,1	3,2	145	225	1	1.0	NA,1.0	0.341,0.437	0.611
