ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
197	"ENSG00000101182.14"	"PSMA7"	chr20	-	62139695	62139905	62139780	62139905	62139074	62139197	197	0,0	1,1	0,1	0,0	134	49	1	1.0	0.0,0.0	NA,1.0	-1.0
293	"ENSG00000142541.16"	"RPL13A"	chr19	+	49489849	49489922	49489849	49489912	49490231	49490297	293	3,2	1,1	0,1	0,0	59	49	1	1.0	0.714,0.624	NA,1.0	-0.331
297	"ENSG00000142541.16"	"RPL13A"	chr19	+	49490474	49490600	49490474	49490576	49490778	49490864	297	0,0	7,3	0,1	3,1	73	49	1	1.0	0.0,0.0	0.0,0.402	-0.201
309	"ENSG00000142227.10"	"EMP3"	chr19	+	48327520	48327664	48327520	48327623	48329351	48329492	309	0,1	0,0	0,0	3,0	90	49	1	1.0	NA,1.0	0.0,NA	1.0
331	"ENSG00000105372.7"	"RPS19"	chr19	+	41860254	41860445	41860254	41860289	41860774	41860845	331	1,0	2,0	0,0	0,1	205	49	1	1.0	0.107,NA	NA,0.0	0.107
439	"ENSG00000198258.10"	"UBL5"	chr19	+	9827891	9828064	9827891	9827984	9828326	9828393	439	0,0	0,1	0,1	0,0	129	49	1	1.0	NA,0.0	NA,1.0	-1.0
921	"ENSG00000285043.1"	"CTD-2515O10.6"	chr16	+	30068817	30068990	30068817	30068978	30069305	30069389	921	0,0	1,2	1,0	1,0	61	49	1	1.0	0.0,0.0	0.445,NA	-0.445
1013	"ENSG00000140988.15"	"RPS2"	chr16	-	1963652	1964365	1964275	1964365	1963148	1963256	1013	1,0	0,1	0,0	1,0	672	49	1	1.0	1.0,0.0	0.0,NA	0.5
1122	"ENSG00000156508.17"	"EEF1A1"	chr6	-	73518025	73518264	73518029	73518264	73515751	73517934	1122	0,1	21,18	0,0	14,14	53	49	1	1.0	0.0,0.049	0.0,0.0	0.025
1186	"ENSG00000137409.19"	"MTCH1"	chr6	-	36972651	36972796	36972702	36972796	36970646	36970694	1186	2,0	0,0	1,2	1,0	100	49	1	1.0	1.0,NA	0.329,1.0	0.336
1384	"ENSG00000070756.15"	"PABPC1"	chr8	-	100704279	100704390	100704296	100704390	100702915	100703359	1384	1,0	1,2	0,0	0,2	66	49	1	1.0	0.426,0.0	NA,0.0	0.213
1485	"ENSG00000198755.10"	"RPL10A"	chr6	+	35468946	35469285	35468946	35469027	35469380	35469529	1485	2,0	4,2	2,0	1,3	307	49	0.346893453513	1.0	0.074,0.0	0.242,0.0	-0.084
1497	"ENSG00000164111.14"	"ANXA5"	chr4	-	121678351	121678494	121678414	121678494	121677893	121677950	1497	0,1	1,0	0,0	0,1	112	49	1	1.0	0.0,1.0	NA,0.0	0.5
1501	"ENSG00000269893.6"	"SNHG8"	chr4	+	118278708	118279137	118278708	118278792	118279388	118279431	1501	0,1	0,0	2,1	1,0	394	49	1	1.0	NA,1.0	0.199,1.0	0.4
1595	"ENSG00000169045.17"	"HNRNPH1"	chr5	-	179623594	179623669	179623635	179623669	179623036	179623164	1595	0,1	0,0	0,1	0,1	90	49	1	1.0	NA,1.0	NA,0.353	0.647
1671	"ENSG00000204628.11"	"RACK1"	chr5	-	181242169	181242345	181242173	181242345	181241491	181241639	1671	0,0	3,0	2,0	0,2	53	49	1	1.0	0.0,NA	1.0,0.0	-0.5
1753	"ENSG00000244687.11"	"UBE2V1"	chr20	-	50096482	50096820	50096671	50096820	50084128	50084254	1753	1,0	1,0	2,0	0,2	238	49	1	1.0	0.171,NA	1.0,0.0	-0.329
1768	"ENSG00000085662.13"	"AKR1B1"	chr7	-	134447460	134448061	134447979	134448061	134447297	134447381	1768	0,1	1,0	0,1	1,0	568	49	1	1.0	0.0,1.0	0.0,1.0	0.0
1772	"ENSG00000169714.16"	"CNBP"	chr3	-	129171633	129171771	129171654	129171771	129171445	129171538	1772	0,0	2,0	0,1	1,0	70	49	1	1.0	0.0,NA	0.0,1.0	-0.5
1807	"ENSG00000119185.12"	"ITGB1BP1"	chr2	-	9412067	9412405	9412268	9412405	9408112	9408205	1807	0,2	1,0	0,0	1,0	250	49	1	1.0	0.0,1.0	0.0,NA	0.5
2003	"ENSG00000234741.7"	"GAS5"	chr1	-	173865470	173865547	173865509	173865547	173865228	173865282	2003	1,0	1,0	1,0	0,0	88	49	1	1.0	0.358,NA	1.0,NA	-0.642
2062	"ENSG00000067225.17"	"PKM"	chr15	-	72230899	72231386	72231115	72231386	72218943	72219110	2062	1,0	0,2	0,0	1,0	265	49	1	1.0	1.0,0.0	0.0,NA	0.5
2082	"ENSG00000141552.17"	"ANAPC11"	chr17	+	81894466	81894624	81894466	81894586	81899919	81900254	2082	0,1	0,0	0,0	0,1	87	49	1	1.0	NA,1.0	NA,0.0	1.0
2278	"ENSG00000142910.15"	"TINAGL1"	chr1	+	31585439	31585876	31585439	31585485	31586709	31586755	2278	3,0	0,0	0,0	1,0	440	49	1	1.0	1.0,NA	0.0,NA	1.0
2483	"ENSG00000112306.7"	"RPS12"	chr6	+	132814971	132815224	132814971	132815088	132816460	132816563	2483	0,1	5,2	0,1	1,1	185	49	1	1.0	0.0,0.117	0.0,0.209	-0.046
2531	"ENSG00000182899.15"	"RPL35A"	chr3	+	197951158	197951328	197951158	197951311	197954002	197954147	2531	0,0	2,2	3,0	5,2	66	49	0.109375936822	1.0	0.0,0.0	0.308,0.0	-0.154
3183	"ENSG00000063046.17"	"EIF4B"	chr12	+	53034611	53034724	53034611	53034709	53037408	53037622	3183	0,1	0,0	0,0	0,1	64	49	1	1.0	NA,1.0	NA,0.0	1.0
3184	"ENSG00000116288.12"	"PARK7"	chr1	+	7961662	7961793	7961662	7961735	7962762	7962875	3184	0,0	1,0	0,1	0,0	107	49	1	1.0	0.0,NA	NA,1.0	-1.0
